Vendor Registry
As of 5/29/2026 3:20:43 PM

"The information provided in this file is not to be used for unsolicited advertising, spam, or any other unauthorized use."

"Company Name","DBA Name","Contact Person","Address","City","State","Zip","Phone","Fax","Email","Website","Commodity Codes",
"621 Law Partners/Conliffe Sandmann & Sullivan PLLC","","Teresa Tabler","Waterfront Plaza, 325 West Main Street, Ste. 250","Louisville","KY","	40202","502-587-7711","502-587-7756","ttabler@cssattorneys.com","http://www.cssattorneys.com","5411 - Legal Services",
"HF GROUP LLC","","SALLY RHUDY","1010 N SYCAMORE ST PO BOX 89","NORTH MANCHESTER","IN","	46962","260-982-2107","260-982-1130","srhudy@hfgroup.com","http://digitalconversionsolutions.com/","323117 - Books printing and binding without publishing; 323117 - Professional books printing and binding without publishing; 323120 - Pamphlet binding without printing; 323120 - Professional bookbinding without printing",
"HMANGLONA LLC","Completely Kentucky","Hermalyn Manglona","237 W Broadway St","Frankfort","KY","	40601","502-223-5240","","info@completelykentucky.com","http://www.completelykentucky.com","45942 - Gift, Novelty, and Souvenir Retailers",
"INGRAM LIBRARY SERVICES INC.","","Tammy Spurlock","ONE INGRAM BLVD, P.O. BOX 3006","LAVERGNE","TN","	37086","800-937-5300","615-213-6004","ilsbids@ingramcontent.com","http://www.ingramlibrary.com","424920 - Book, Periodical, and Newspaper Merchant Wholesalers; 424920 - Books merchant wholesalers",
"Insurance Auto Auctions , Corp .","IAA","JC Curtis","Two Westbrook Corporate Center , 10th Floor","Westchester","IL","	60154","281-924-1909","713-847-4799","tlozano@iaai.com","http://www.iaai.com","42 - Wholesale Trade",
"Intec Building Services, Inc.","","Darrell Feldhoff","3812 Bardstown Road","Louisville","KY","	40218","502-452-6111","502-452-2255","jc@intecps.com","http://www.intecps.com","561720 - Janitorial Services",
"Integrated Pest Management Services LLC","IPM Services LLC","Melissa Mullikin","2106 Old Shepherdsville Rd.","Louisville","KY","	40218","502-456-4416","502-456-4417","ipmmelissa@yahoo.com","http://www.ipmpestcontrol.com","56171 - Exterminating and Pest Control Services; 926140 - Pest control programs, agriculture, government",
"Jackson Enterprise LLC","","Bobby Jackson","3201 Leith lane apt 215","Louisville","KY","	40218","502-807-7901","","bobbybjackson@gmail.com","","23 - Construction",
"JACOBI SALES INC","","Lora McAfee","6500 bardstown rd","louisville","KY","	40291","502-231-5500","502-231-5596","lora-mcafee@jacobisales.com","http://jacobisales.com","115 - Support Activities for Agriculture and Forestry",
"Jean Henry WBE, LLC","Lawrence & Associates Concrete Design","Jean Henry","1437 Hugh Avenue","Louisville","KY","	40213","502-550-9266","","jhenry@lawrenceconcrete.com","http://www.lawrenceconcrete.com","237310 - Concrete paving (i.e., highway, road, street, public sidewalk); 237310 - Curbs and street gutters, highway, road and street, construction; 238110 - Concrete finishing; 238110 - Concrete floor surfacing; 238110 - Concrete pouring; 238110 - Concrete pumping (i.e., placement); 238110 - Retaining wall (except anchored earth), poured concrete, construction; 238990 - Concrete patio construction",
"JJI Express Inc.","","Judy Ryan","P.O> Box 91964","Louisville","KY","	40291","502-749-0088","502-427-0049","judyryan@jjiexpressinc.com","","492110 - Couriers and Express Delivery Services; 561431 - Private Mail Centers",
"JQOL, Inc","","Stephanie Ramsamooj","8440 Allison Pointe Blvd, Suite # 425","Indianapolis","IN","	46250","317-661-1964","317-661-1964","jjointer@jqolusa.com","http://https://www.jqolusa.com/","237310 - Highway, Street, and Bridge Construction; 541330 - Engineering services; 541360 - Geophysical Surveying and Mapping Services; 541370 - Surveying and Mapping (except Geophysical) Services",
"Kahn, Dees, Donovan & Kahn, LLP","","Steven Hoar","501 Main Street, Suite 305","Evansville","IN","	47735","812-423-3183","812-423-3841","shoar@kddk.com","http://www.kddk.com","5411 - Legal Services",
"Kentucky Assoc of Manufacturer","","Shelley Goodwin","PO Box 4029","Frankfort","KY","	40604","502-352-2485","502-352-2485","info@kam.us.com","http://www.kam.us.com","81391 - Business Associations",
"Kings Development Group","Kings Fencing and Decking","Oscar Santana","6606 Babelay Rd","Knoxville","TN","	37924","865-250-9187","","kdgrouptn@gmail.com","https://kingsfencecompany.com","238990 - All Other Specialty Trade Contractors",
"Kourtney Cleaners LLC","","Courtney Woods","3433 Boxelder Rd, na","LOUISVILLE","KY","	40216","502-320-8862","","kourtneycleaners@gmail.com","","561720 - Building cleaning services, interior; 561720 - Building cleaning services, janitorial; 561720 - Janitorial Services",
"LDG Multifamily, LLC","","Ramona Vasta","545 S 3rd St","Louisville","KY","	40202","502-638-0534","502-638-9197","rvasta@ldgdevelopment.com","http://www.ldgdevelopment.com","531390 - Other Activities Related to Real Estate",
"LeadsOnline, LLC","","Shawna Evans","6900 DALLAS PKWY STE 825","PLANO","TX","	75024","972-361-0900","972-361-0901","sevans@leadsonline.com","http://www.leadsonline.com","518210 - Data processing services (except payroll services, financial transaction processing services)",
"Legacy Janitorial Services LLC","","Antonio Brown","7611 Lancelot Ct","Louisville","KY","	40222","502-322-2197","","abrown.businessgroup@yahoo.com","","56172 - Janitorial Services; 561720 - Aircraft janitorial services; 561720 - Building cleaning services, interior; 561720 - Building cleaning services, janitorial; 561720 - Cleaning homes; 561720 - Cleaning offices; 561720 - Cleaning shopping centers; 561720 - Custodial services; 561720 - Janitorial services; 561720 - Janitorial services, aircraft; 561720 - Maid services (i.e., cleaning services); 561720 - Office cleaning services; 561720 - Residential cleaning services; 561720 - Rest room cleaning services; 561720 - Restaurant kitchen cleaning services; 561720 - Janitorial Services; 562998 - Reservoir maintenance and cleaning services",
"Leonard Brush and Chemical Co Inc","Leonard Brush & Chemical","Weston Adams","1450 Mellwood Ave","Louisville","KY","	40206","502-585-2381","502-584-2086","mail@lbandc.com","http://www.lbc1879.com","31 - Manufacturing; 44 - Retail Trade",
"Libs Paving Company","","Patrick Oster","7001 Atkins Road","Floyds Knobs","IN","	47119","812-944-8942","812-949-2806","patrick@libspaving.com","","237310 - Asphalt paving (i.e., highway, road, street, public sidewalk); 238990 - Asphalting, residential and commercial driveway and parking area",
"Linda Katz Ain","The Law Firm of Linda K. Ain","Linda Ain","9 Haig Pl, #202","Dunedin","FL","	34698","859-806-0646","","lindaain@twc.com","","541110 - Attorneys' private practices",
"Louisville Grows, Inc.","","Bonnie Johnson","1641 Portland Ave","Louisville","KY","	40203","502-494-8212","","director@louisvillegrows.org","http://www.louisvillegrows.org","115 - Support Activities for Agriculture and Forestry",
"Louisville Tool Library","","Paul Faget","1227 Logan St","Louisville","KY","	40204","502-276-6436","","info@louisvilletoollibrary.com","http://louisvilletoollibrary.com","532284 - Recreational Goods Rental; 532284 - Canoe rental; 532284 - Sporting goods rental; 532289 - All Other Consumer Goods Rental; 532289 - Tool rental or leasing for home use; 532310 - General rental centers; 532310 - Home and garden equipment rental centers; 611699 - All Other Miscellaneous Schools and Instruction",
"Mallinckrodt, Inc.","","Tom Porrecca","675 McDonnell Blvd.","Hazelwood","MO","	63042","800-654-1515","281-361-2312","tom.porrecca@mnk.com","","424210 - Specialty-line pharmaceuticals merchant wholesalers",
"Mandel Metals, Inc.","US Standard Sign","David Pupillo","11400 W. ADDISON ST.","FRANKLIN PARK","IL","	60053","847-447-2232","847-447-2332","dpupillo@usstandardsign.com","http://www.usstandardsign.com","237310 - Highway, Street, and Bridge Construction; 331315 - Aluminum Sheet, Plate, and Foil Manufacturing; 339950 - Sign Manufacturing",
"Mazanec Raskin & Ryder Co., L.P.A.","","Darlene McCormick","34305 Solon Rd, Suite 100","Solon","OH","	44139","440-248-7906","440-248-8861","dmccormick@mrrlaw.com","http://www.mrrlaw.com","5411 - Legal Services",
"Media Events Inc","","John Grantz","PO Box 4126","Louisville","KY","	40204","502-489-2159","502-458-1512","john@mediaeventsusa.com","http://mediaeventsusa.com","541613 - Marketing Consulting Services; 71 - Arts, Entertainment, and Recreation; 711130 - Bands, musical; 711320 - Concert booking agencies",
"Meeder Public Funds, Inc.","Meeder Investment Management","Jason Headings","6125 Memorial Dr","Dublin","OH","	43017","614-923-1151","","jheadings@meederinvestment.com","","523940 - Investment advisory services, customized, fees paid by client; 921130 - Public Finance Activities",
"Metric Environmental, LLC","Metric Environmental","Kenneth Beache","6958 Hillsdale Court","Indianapolis","IN","	46250","317-400-1633","855-808-8227","marketing@metricenv.com","http://www.metricenv.com","541330 - Engineering services; 541380 - Testing Laboratories and Services; 541620 - Environmental Consulting Services; 562910 - Remediation Services",
"Metro Louisville Sports Officials","","Keith Koebel","1600 Rhode Ct","La Grange","KY","	40031","502-500-4825","","kkoebel@ymail.com","","711219 - Athletes, amateur, independent",
"Michael Baker International, Inc.","","Patty Dunaway","500 Grant Street, Suite 5400","Pittsburgh","PA","	15219","813-466-6018","949-472-8373","mary.kolich@mbakerintl.com","http://www.mbakerintl.com","518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services; 524298 - All Other Insurance Related Activities; 541310 - Architectural Services; 541320 - Landscape architectural services; 541330 - Engineering services; 541340 - Drafting services; 541350 - Building inspection services; 541360 - Geophysical Surveying and Mapping Services; 541370 - Surveying and Mapping (except Geophysical) Services; 541410 - Interior design services; 541511 - Custom Computer Programming Services; 541512 - Computer Systems Design Services; 541513 - Computer Facilities Management Services; 541519 - Other Computer Related Services; 541611 - Administrative Management and General Management Consulting Services; 541618 - Other Management Consulting Services; 541620 - Environmental consulting services; 541690 - Other Scientific and Technical Consulting Services; 541715 - Engineering research and development laboratories or services (except nanotechnology research and development); 541990 - All Other Professional, Scientific, and Technical Services; 561210 - Facilities Support Services; 562910 - Remediation Services; 924110 - Administration of Air and Water Resource and Solid Waste Management Programs",
"Mohawk, Inc.","Mohawk Medical","Steve Ford","340 Production Ct","Louisville","KY","	40299","502-499-5577","502-499-0018","steve@mohawkmedical.com","http://www.mohawkmedical.com","424210 - Pharmaceuticals merchant wholesalers",
"Mom and Me Treats","","Evonne Jeffries","1812 W Muhammad Ali Blvd","Louisville","KY","	40203","502-435-3437","","mom.metreats@yahoo.com","http://www.momandmetreats.com","311340 - Nonchocolate Confectionery Manufacturing",
"More  Than Two Minutes, LLC","","Stacey Robinson","1518 Rosewood Ave","Louisville","KY","	40204","502-609-7246","","staceyrobinson@morethantwominutes.com","","53 - Real Estate and Rental and Leasing; 54 - Professional, Scientific, and Technical Services",
"Nadio's Extreme Clean","","Renaldo Halsell","1512 Cornette Way","Louisville","KY","	40216","502-294-6475","","nadiosextremeclean785@gmail.com","http://goggle business","56172 - Janitorial Services; 561720 - Janitorial Services",
"National Equality Systems, LLC","","David Corbett","1902 Poloview Pl","Louisville","KY","	40245","502-836-5085","","nationalequalitysys@gmail.com","","61 - Educational Services; 62 - Health Care and Social Assistance; 71 - Arts, Entertainment, and Recreation; 81 - Other Services (except Public Administration)",
"Nikki B Aquatics","","Necolle Banks","4414 Raven Ridge Dr","Louisville","KY","	40216","502-260-2477","","nikkibaquatics@gmail.com","http://necollebanks.com","611620 - Sports and Recreation Instruction",
"ON TO THE NEXT ONE CONSULTING LLC","Deondra Wardelle","DEONDRA WARDELLE","3410 N High School Rd, Suite G, PMB# 1009","Indianapolis","IN","	46224","","","info@deondrawardelle.com","http://https://www.deondrawardelle.com/","541611 - Business management consulting services",
"Oracle Neighborhood Revitalization 2010, LLLP","","Jo Ann Henning","1512 Crums Ln, Suite 401","Louisville","KY","	40216","502-814-1046","","jhenning@b2gnowuser.com","","5311 - Lessors of Real Estate",
"Oracle Single Family Home Revitalization 2009, LLLP","","Jo Ann Henning","1405 West Broadway, Suite 101","Louisville","KY","	40203","502-814-1046","","jhenning2@b2gnowuser.com","","53111 - Lessors of Residential Buildings and Dwellings",
"Orchard, Hiltz & McCliment, Inc.","OHM Advisors","Maggie D Judd","580 N 4th St Ste 610","Columbus","OH","	43215","614-474-1129","614-418-0614","meghan.allsop@ohm-advisors.com","http://www.ohm-advisors.com","541310 - Architectural Services; 541320 - Landscape Architectural Services; 541330 - Engineering services; 541340 - Drafting Services; 541350 - Building Inspection Services; 541360 - Geophysical Surveying and Mapping Services; 541370 - Surveying and Mapping (except Geophysical) Services; 541430 - Graphic Design Services; 541620 - Environmental Consulting Services",
"Pagefreezer Software, Inc.","","Richard Link","311 Water Street","Vancouver","","	","604-210-1652","","customersuccess@pagefreezer.com","http://www.pagefreezer.com","518 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services; 519 - Web Search Portals, Libraries, Archives, and Other Information Services",
"Palmer Engineering Company","","David Lanham","3403 Stony Spring Circle","Louisville","KY","	40220","502-491-2411","","dlanham@palmernet.com","https://www.palmernet.com/","5413 - Architectural, Engineering, and Related Services; 541330 - Civil engineering services; 541330 - Engineering consulting services; 541330 - Engineering design services; 541330 - Environmental engineering services",
"Palmer Trucks Inc","Kenworth of Louisville","John Yehl","4330 Poplar Level Rd","Louisville","KY","	40213","502-459-1200","502-458-4688","bbrutcher@palmertrucks.com","http://www.palmertrucks.com","811111 - Automotive fleet repair and maintenance services; 811111 - Diesel engine repair shops, automotive",
"Pam Clay-Young Law Office","Pam Clay-Young","Pam Clay-Young","838 E. High Street, No. 287","Lexington","KY","	40502","859-810-1656","","pam@clay-young-lawoffice.com","","54111 - Offices of Lawyers",
"PB PARENT,LLC","PYE-BARKER FIRE & SAFETY,LLC","Chris Turpin","2500 Northwinds Parkway Ste 200","Alpharetta","GA","	30009","800-927-8610","","christopher.turpin@pyebarkerfs.com","http://pyebarkerfire.com","561621 - Alarm system monitoring services; 561621 - Alarm systems sales combined with installation, repair, or monitoring services; 561621 - Burglar alarm monitoring services; 561621 - Burglar alarm sales combined with installation, repair, or monitoring services; 561621 - Fire alarm monitoring services; 561621 - Fire alarm sales combined with installation, repair, or monitoring services; 561621 - Security alarm systems sales combined with installation, repair, or monitoring services; 561621 - Security system monitoring services; 561621 - Security Systems Services (except Locksmiths)",
"Pillar Design Studios, LLC","","Nicole Robertson","1960 W Hawk Ct","Chandler","AZ","	85286","888-880-5112","888-841-2569","nicole@pillardesignstudios.com","http://www,pillardesignstudios.com","5414 - Specialized Design Services; 713990 - Trail riding, recreational",
"Plan-It Organics, LLC","Smith Creek","Matthew Smith","8991 Louis Smith Road","Borden","IN","	47106","502-643-3849","812-923-6422","msmith@smithcreek.com","http://www.smithcreek.com","321999 - All Other Miscellaneous Wood Product Manufacturing",
"PREMIER CLEANING SERVICES LLC","","RONNEY AGUIAR LOPEZ","401 STEEPLECREST CT APT 102","LOUISVILLE","KY","	40222","502-546-3009","","premiercleaningservices96@gmail.com","http://https://premiercleaningsv.com/","56172 - Janitorial Services",
"Prodigy Building Solutions, LLC","","Jessie Reist","9652 Inter-Ocean Dr","West Chester","OH","	45246","513-907-1970","885-508-1605","jreist@buildingprodigy.com","https://www.buildingprodigy.com/p/","236220 - Commercial and Institutional Building Construction",
"Prominent services LLC","","Dominic Turner","3319 Penway Ave","Louisville","KY","	40211","270-992-0144","","prominentserv@gmail.com","","531 - Real Estate; 532 - Rental and Leasing Services",
"ProQuest LLC","ProQuest","Karen Bailey","789 East Eisenhower Parkway","Ann Arbor","MI","	48108","800-521-0600","888-241-5612","karen.bailey@clarivate.com","","51311 - Newspaper Publishers; 513120 - Periodical Publishers; 51313 - Book Publishers; 513199 - All Other Publishers; 513210 - Software Publishers; 518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services; 51921 - Libraries and Archives; 611410 - Business and Secretarial Schools; 611630 - Language schools; 611699 - All Other Miscellaneous Schools and Instruction; 611710 - Educational support services",
"Public Consulting Group LLC","","Laura Keck","99 Washington Ave., Suite 1720","Albany","NY","	12210","617-426-2026","512-407-9249","hr_reporting@pcgus.com","http://www.publicconsultinggroup.com","54161 - Management Consulting Services",
"QUEST DIAGNOSTICS INC","","Julie Vilendrer","PO BOX 740709    (EFT)","ATLANTA","GA","	30374","800-323-5917","610-271-4565","julie.m.vilendrer@questdiagnostics.com","","54 - Professional, Scientific, and Technical Services; 62 - Health Care and Social Assistance",
"R & T STARR LLC","Renewable Home Experts","Tila Alibraheim","1225 E Burnett Ave","Louisville","KY","	40217","502-601-5298","","renewablehomeexperts@gmail.com","https://sites.google.com/view/renewablehomeexpertsllc/home","236118 - Addition, alteration and renovation (i.e., construction), multifamily building; 236118 - Addition, alteration and renovation (i.e., construction), residential building; 236118 - Addition, alteration and renovation of single-family dwellings; 236118 - Addition, alteration and renovation, multifamily building, general contractors; 236118 - Addition, alteration and renovation, multifamily building, for-sale builders; 236118 - Addition, alteration and renovation, residential building, general contractors; 236118 - Addition, alteration and renovation, residential building, for-sale builders; 236118 - Addition, alteration and renovation, single-family housing, general contractors; 236118 - Addition, alteration and renovation, single-family housing, for-sale builders; 236118 - Building, residential, addition, alteration and renovation; 236118 - Residential Remodelers; 238130 - Framing contractors; 238320 - House painting; 238320 - Painting and Wall Covering Contractors; 238330 - Floor laying, scraping, finishing and refinishing; 238330 - Flooring Contractors; 238330 - Hardwood flooring, installation only; 238330 - Linoleum, installation only; 238330 - Resilient floor tile or sheet (e.g., linoleum, rubber, vinyl), installation only; 238330 - Resurfacing hardwood flooring; 238330 - Vinyl flooring contractors; 238330 - Wood floor finishing (e.g., coating, sanding); 238330 - Wood flooring, installation only; 238350 - Aluminum door and window, residential-type, installation; 238350 - Deck construction, residential-type; 238350 - Door and window frame construction; 238350 - Door and window, prefabricated, installation; 238350 - Door, folding, installation; 238350 - Finish carpentry; 238350 - Kitchen cabinets and counters, constructed on site; 238350 - Molding or trim, wood or plastic, installation; 238350 - Finish Carpentry Contractors; 238350 - Countertop (except ceramic tile or stone), residential-type, installation; 238990 - Brick driveway contractors; 238990 - Brick paver (e.g., driveways, patios, sidewalks) installation; 238990 - Chain link fence installation; 238990 - Concrete paving, residential and commercial driveway and parking area; 238990 - Fence installation (except electronic containment fencing for pets); 238990 - All Other Specialty Trade Contractors; 561790 - Other Services to Buildings and Dwellings",
"R&N Dreams LLC","","Raphael Pulliam","2020 Floradora Dr","Louisville","KY","	40272","502-876-1169","","nicola1866@att.net","http://r&n dreams llc","22 - Utilities; 23 - Construction; 53 - Real Estate and Rental and Leasing",
"Red Tag LLC","","Russell Renbarger","234 E Main St","Louisville","KY","	40202","502-836-3448","","russ@redtagideas.com","http://www.redtag.digital","541613 - Marketing management consulting services",
"Renascent, Inc.","","Sarah Hall","6325 Digital Way, Suite 300","Indianapolis","IN","	46278","317-533-7300","317-533-7300","lcampbell@renascentinc.com","http://www.renascentinc.com","238910 - Building demolition",
"Riley McGuire Partners, LLC","","Neil Riley","2707 Tucker Rd., Suite 102","Louisville","KY","	40299","502-230-9986","","admin@rileymcguirepartners.com","http://www.rileymcguirepartners.com","5411 - Legal Services; 54119 - Other Legal Services; 541199 - All Other Legal Services; 541611 - Business management consulting services; 541611 - General management consulting services; 541611 - Reorganizational consulting services; 541611 - Strategic planning consulting services; 541611 - Administrative Management and General Management Consulting Services; 541618 - Other Management Consulting Services; 541620 - Environmental Consulting Services; 541690 - Other Scientific and Technical Consulting Services",
"Robert Pass & Associates Inc","","Robert Pass","309 E. Market Street, #302","Louisville","KY","	40202","502-589-7632","","robert@rpaky.com","","23 - Construction",
"Roche Diagnostics Corporation","","Erin McCann","9115 Hague Rd","Indianapolis","IN","	46256","800-428-5074","800-722-7222","erin.mccann@roche.com","http://usdiagnostics.roche.com","334516 - Analytical Laboratory Instrument Manufacturing",
"Rudd Equipment Company, Inc.","","Toni McQueen","4344 Poplar Level Rd","Louisville","KY","	40213","502-456-4050","502-456-0300","rparvin@ruddequipment.com","http://www.ruddequipment.com","423810 - Construction machinery and equipment merchant wholesalers; 423810 - Cranes (except industrial) merchant wholesalers; 423810 - Cranes, mining, merchant wholesalers; 423810 - Excavating machinery and equipment merchant wholesalers; 423810 - Mining cranes merchant wholesalers; 423810 - Mining machinery and equipment (except petroleum) merchant wholesalers; 423810 - Quarrying machinery and equipment merchant wholesalers; 423810 - Road construction and maintenance machinery merchant wholesalers; 423810 - Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers; 423810 - Crushing, pulverizing, and screening machinery, construction and mining, merchant wholesalers; 423810 - Loaders merchant wholesalers",
"RussTech Inc.","RussTech","Trish Wood","11208 Decimal Drive","Louisville","KY","	40299","502-267-7700","502-267-8922","trish@russtechnet.com","http://www.russtechnet.com","327390 - Other Concrete Product Manufacturing",
"S4 Water Sales and Service, LLC","","Brandt Cashion","160 Vanderbilt Court","Bowling Green","KY","	42103","270-781-0670","270-712-0015","bcashion@s4h2o.com","http://www.s4h2o.com","22 - Utilities; 221310 - Water Supply and Irrigation Systems; 56 - Administrative and Support and Waste Management and Remediation Services; 562910 - Remediation Services",
"SAFETY KLEEN Systems, Inc.","","Lisa Hersh","42 LONGWATER DR","NORWELL","MA","	02061","781-635-4439","972-265-2947","bps.government@safety-kleen.com","http://www.safety-kleen.com","562211 - Hazardous Waste Treatment and Disposal",
"Sagebird Consulting","","Stephen Lin","5410 Poplar Lakes Ln","Louisville","KY","	40299","502-432-3045","","info@sagebirdconsulting.com","http://sagebirdconsulting.com","541320 - Urban planning services; 541611 - Reorganizational consulting services; 541611 - Strategic planning consulting services; 541612 - Organization development consulting services; 541614 - Operations research consulting services; 541715 - Mathematics research and development laboratories or services; 54172 - Research and Development in the Social Sciences and Humanities; 541720 - Business research and development services; 541720 - Demographic research and development services; 541720 - Economic research and development services; 541720 - Research and Development in the Social Sciences and Humanities; 541720 - Social science research and development services; 541910 - Opinion research services; 541910 - Public opinion research services; 611710 - Educational consultants; 611710 - Educational testing evaluation services; 611710 - Test development and evaluation services, educational; 624410 - Before-school and after-school educational programs, separate from schools; 923110 - Education statistics centers, government",
"SenSource, Inc.","","Brendon Badway","3890 Oakwood Ave","Austintown","OH","	44515","800-239-1226","877-517-2586","sales@sensourceinc.com","http://www.sensourceinc.com","334514 - Electronic totalizing counters manufacturing",
"Service Systems Associate","","David Goetz","4699 Marion Street","Denver","CO","	80216","303-321-2760","303-815-1698","dgoetz@thessagroup.com","http://https://thessagroup.com/","45 - Retail Trade; 722310 - Food service contractors, concession operators (e.g., convention facilities, entertainment facilities, sporting facilities)",
"Sharp Futures Foundation Inc","","Clinton Carter","P.O. Box 16524","Louisville","KY","	40256","502-341-4310","","cj@sharpfutures.org","https://www.sharpfutures.org","61 - Educational Services",
"She’s got the kure","","Joeisha Petty","9909 Cedar Park Ct","Louisville","KY","	40291","502-999-4080","","shegotthekure@gmail.com","http://www.shesgotthekure.com","325611 - Bar soaps manufacturing; 325611 - Glycerin (i.e., glycerol), natural, manufacturing; 325611 - Hand soaps (e.g., hard, liquid, soft) manufacturing; 325611 - Soaps (e.g., bar, chip, powder) manufacturing; 325611 - Soap and Other Detergent Manufacturing; 325620 - Cosmetic creams, lotions, and oils manufacturing; 325620 - Face creams (e.g., cleansing, moisturizing) manufacturing; 325620 - Hair preparations (e.g., conditioners, dyes, rinses, shampoos) manufacturing; 325620 - Hand lotions manufacturing; 325620 - Lotions (e.g., body, face, hand) manufacturing; 325620 - Shampoos and conditioners, hair, manufacturing; 325620 - Sunscreen lotions and oils manufacturing; 325620 - Toilet Preparation Manufacturing",
"Simplot AB Retail Inc.","Simplot Turf & Horticulture","Spencer Hemmer","1755 Transcentral Ct, Ste 100","Houston","TX","	77032","281-726-3485","","jay.blodgett@simplot.com","http://www.simplot.com","424910 - Farm supplies merchant wholesalers",
"Southern Indiana Tire, Inc.","Best-One Kentuckiana","Louis Roederer","1501 S Brook St","Louisville","KY","	40208","812-285-5400","","lroederer@bestone.tires","http://www.bestone.tires","441340 - Tire Dealers",
"Steez Loves The World","","Xazayveaun Forrest","1317 south 36th street","louisville","KY","	40211","502-238-0279","","zayforrest1111@gmail.com","","813110 - Religious Organizations",
"Tachau Meek PLC","","Jaime Farabee","3600 National City Tower, 101 South 5th Street","Louisville","KY","	40202","502-238-9900","502-238-9910","firm@tachaulaw.com","","5411 - Legal Services",
"The Black Italian Griglia Cucina, LLC","The Black Italian","Anthony Hunter","2009 Highland Ave","Louisville","KY","	40204","502-435-6671","","info@theblackitalian.com","http://theblackitalian.com","72232 - Caterers",
"The Pittsburgh Paints Company","Pittsburgh Paints","Mary Goltz","ONE PPG PLACE","PITTSBURGH","PA","	15272","213-218-7514","855-292-6543","wkim@ppg.com","http://pittsburghpaintsco.com","325510 - Architectural coatings (i.e., paint) manufacturing",
"The W. W. WIlliams, Company, LLC","","Mary Bull","400 Metro Pl N, Suite 130","Dublin","OH","	43017","614-288-5000","","mrocchietti@wwwilliams.com","http://www.wwwilliams.com","811 - Repair and Maintenance",
"Thermeq Company","","Elizabeth Kramp","1070 Disher Drive","Waterville","OH","	43566","419-878-4400","","emkramp@thermeq.com","http://www.thermeq.com","332312 - Fabricated structural metal manufacturing; 332313 - Bins, fabricated metal plate work, manufacturing; 332313 - Chutes, fabricated metal plate work, manufacturing; 332313 - Fabricated plate work manufacturing; 332322 - Furnace casings, sheet metal (except stampings), manufacturing",
"Thomas W Dyke","","Thomas Dyke","3707 Quail Hollow Ct","Louisville","KY","	40241","502-640-9379","","twdyke@gmail.com","","5419 - Other Professional, Scientific, and Technical Services; 541990 - All Other Professional, Scientific, and Technical Services",
"Timothy L. Hendrickson","","Timothy Hendrickson","4500 East 400 North","Huntington","IN","	46750","260-433-7552","215-386-0488","secretsafari@gmail.com","http://secretsafari.net","71 - Arts, Entertainment, and Recreation; 713990 - Amusement ride concession operators (i.e., supplying and servicing in others' facilities)",
"TY Ink Promotions, Inc.","TY INK PROMOTIONS","Robin Krawiec","9220 Marlboro Cir","Louisville","KY","	40222","502-394-0802","502-394-0802","susan@tyinkpromotions.com","http://www.tyinkpromotions.com","541890 - Advertising specialty (e.g., keychain, magnet, pen) distribution services; 541890 - Other Services Related to Advertising",
"University Medical Center Inc.","University of Louisville Hospital","Maureen Gaynor","530 South Jackson Street","Louisville","KY","	40202","502-562-3000","","maurgay@ulh.org","http://uoflhospital.org","62 - Health Care and Social Assistance",
"VANCES LAW ENFORCEMENT","Vance Outdoors Inc.","DOUG VANCE","3723 CLEVELAND AVE","COLUMBUS","OH","	43224","614-471-7000","614-471-2134","dvance@vancesle.com","","459110 - Sporting Goods Retailers",
"Vantage Innovative Solutions, LLC","","Weston Burchett","640 S 4th St, Ste 210","Louisville","KY","	40202","502-822-4466","","weston@vantageinnovative.com","http://vantageinnovative.com","541511 - Custom Computer Programming Services; 541511 - Software analysis and design services, custom computer; 541511 - Software programming services, custom computer",
"VSP","VISION SERVICE PLAN","Wendy Vance","9378 Mason Montgomery Road","Cincinnati","OH","	45040","513-265-1997","916-463-9002","courtney.walker@vsp.com","http://vsp.com","52 - Finance and Insurance",
"W Principles, LLC","","Jeff Puckett","200 Apperson Heights","Mount Sterling","KY","	40353","859-498-0092","859-498-0093","jpuckett@wprinciples.com","http://wprinciples.com","236210 - Construction management, industrial building (except warehouses); 236220 - Construction management, commercial and institutional building",
"Warfield Unified Ventures LLC","Integrity Facility Services LLC","Ladie Warfield","PO Box 91484","Louisville","KY","	40291","502-309-4231","","integrityfacilityservicesky@gmail.com","","56172 - Janitorial Services; 561720 - Building cleaning services, janitorial; 561720 - Janitorial Services",
"Wayne Corporation","","Derek Wilhelmus","1169 Eastern Parkway, Suite 1166","Louisville","KY","	40217","502-451-8262","502-456-6968","dwilhelmus@waynecorp.com","http://www.waynecorp.com","525120 - Health and welfare funds; 624190 - Counseling services (except by psychiatrists, psychoanalysts, or psychotherapists)",
"Weber Works","","Dustin Weber","13117 Saratoga Springs Pl","Louisville","KY","	40299","502-689-5578","","dustin@weber-works.com","http://weber-works.com","561311 - Employment placement agencies or services; 561320 - Temporary staffing services",
"Westerfield-Bonte Company","","Sam Blythe","619 W Kentucky St","Louisville","KY","	40203","502-432-2512","502-585-4616","sblythe@westerfieldbonte.com","http://westerfieldbonte.com","532 - Rental and Leasing Services",
