Business Name,Address,Phone,Services / Products,Website,Minority Type
Shirley Mae's Cafe,"802 S Clay St, Louisville, KY 40203",(502) 589-5295,"Restaurant serving Southern dishes including chitterlings, ham hocks, fried chicken wings, and hot water cornbread",http://shirleymaescafe.com/,"Black-Owned, Minority-Owned, Women-Owned"
Sidebar Grill,"Lexington, KY",,Casual restaurant serving pub food and burgers,https://www.kentuckytourism.com,
Sis Got Tea,"Louisville, KY",,Tea shop,https://queerkentucky.com,LGBTQ+-Owned
Sis Got Tea,"Louisville, KY",,"Tea shop offering a safe, sober space for the LGBTQ+ community",https://spectrumnews1.com,"Black-Owned, LGBTQ+-Owned, Women-Owned"
Sister Sky,Washington,,Natural hair and body care products,https://www.powwows.com,"Native American-Owned, Women-Owned"
Six Sisters Boutique,"NuLu area, Louisville, KY",,Boutique retail,https://spectrumnews1.com,Women-Owned
Six Sisters Boutique,"NuLu, Louisville, KY",,Boutique,https://www.wlky.com,Women-Owned
Skincare by Tracie,,,Personalized skincare treatments including customized facials and acne treatments,https://www.thevillagelou.com,Black-Owned
So Sassy Salon,"Louisville, Kentucky",,Haircare and beauty treatments,https://pm.bhhspw.com,Black-Owned
Stellar Suites,"NuLu, Louisville, KY",,Boutique hotel offering private suites and extended stays,https://www.wlky.com,Women-Owned
Structure Values LLC,Kentucky,,"Concrete, Demolition, Earthwork, Electrical, Heating Ventilating and Air Conditioning HVAC, Landscaping, Masonry, Plumbing, Project Management and Coordination, Roofing, Rough Carpentry, Structural Steel, construction estimates, CPM scheduling, architectural design",https://www.procore.com,Minority-Owned (general)
Sweet Havana,"5510 Fern Valley Rd., Ste. #101, Louisville, KY",(502) 219-6663,"Cuban cafeteria and bakery serving Cuban sandwiches, pastries, and Cuban coffee",https://www.gotolouisville.com,Latino-Owned
The Black Italian,"Louisville, KY",,"Italian restaurant with soul food influence, offering dining, catering, and family meal packages",https://www.buyblackmainstreet.com,Black-Owned
The Black Italian,"Louisville, KY",,Restaurant,https://www.ebony.com,Black-Owned
The Eagle,"Louisville, KY",,Restaurant serving fried chicken and Southern food,https://www.insidehook.com,
The Futile Bakery,"Lexington, KY",,Bakery specializing in cinnamon rolls and sweet treats,https://www.kentuckytourism.com,
The Greenery,"Lexington, Kentucky",,Coffee shop,https://delaneyrwells.com,Women-Owned
The House Lounge,,,"Lounge and restaurant offering piano nights, drag performances, and cocktails",https://maps.apple.com,
The House of Marigold,"Louisville, KY",,Restaurant and cafe,https://www.wlky.com,Black-Owned
The Myriad Hotel,"Louisville, KY",,"Queer-owned boutique hotel, 65 guest rooms, outdoor heated pool, restaurant, coffee bar",https://www.kentuckytourism.com,LGBTQ+-Owned
The Perfect Spot,"Lexington, Kentucky",,,https://www.youtube.com,Black-Owned
The Standard,"Covington, KY",,Restaurant in converted 1930s garage serving bourbon slush and sandwiches,https://www.kentuckytourism.com,
The Sweet Spot Candy Shoppe & Dundee Candy,"Louisville, KY",,Candy shop,https://queerkentucky.com,LGBTQ+-Owned
The Willow,"Lexington, Kentucky",,Wellness and wine bar,https://delaneyrwells.com,Women-Owned
Third Street Stuff and Coffee,"Lexington, KY",,"LGBTQ+ owned cafe serving Fair Trade Certified Organic coffee, locally baked goods, and sandwiches",https://www.kentuckytourism.com,LGBTQ+-Owned
Thomason's BBQ,"Henderson, Kentucky",,"BBQ restaurant specializing in vinegar-based BBQ dip, mutton, and BBQ baked beans",https://queerkentucky.com,LGBTQ+-Owned
TyQea Franchessca,,,,https://melannaire.com,Black-Owned
VIP Childcare,"Lexington, Kentucky",,Child Day Care,https://www.supportblackowned.com,Black-Owned
Velvet Outlaw,"1860 Mellwood Ave., Studio 268, Louisville, KY",,"Upcycled, Western-inspired fashion, body-positive and size-inclusive",velvetoutlaw.com,LGBTQ+-Owned
Velvet Outlaw,"1860 Mellwood Ave. Studio 268, Louisville, KY",,"Clothing brand focusing on body positivity, reused textiles, and 70's-Western fashion; fully-custom clothing",https://www.leoweekly.com,Women-Owned
Violet Moon Salon,"1813 Bardstown Rd., Louisville, KY",,"Salon services, haircuts, Reiki, tarot readings",violetmoonlou.com,LGBTQ+-Owned
WOW Factor Collective,"NuLu area, Louisville, KY",,,https://spectrumnews1.com,Women-Owned
West Lou Coffee,,,"Specialty coffee roasters offering high-quality, ethically sourced coffee blends and coffee subscriptions",https://www.thevillagelou.com,Black-Owned
Winners Circle Liquors,"Lexington, Kentucky",,Liquor and/or Winery,https://www.supportblackowned.com,Black-Owned
Wisdom Tree Technologies,"926 N 16th St, Murray, KY 42071",,"Staffing for health practitioners, computer facilities management, operational support for special operations, healthcare solutions, technical training, and administrative management",https://www.mapquest.com,"Native American-Owned, Veteran-Owned, Disability-Owned"
"Wisdom Tree Technologies, LLC","Murray, KY",,"Services for defense, law enforcement, national security and inter-agency industries as well as corporations",https://www.sba.gov,"Native American-Owned, Veteran-Owned"
Woman-Owned Wallet,"NuLu area, Louisville, KY",,Self-guided walking tour of woman-owned businesses,https://spectrumnews1.com,Women-Owned
Woman-Owned Wallet Boutique,"NuLu, Louisville, KY",,Boutique showcasing products from 50 different woman-owned businesses,https://www.wlky.com,Women-Owned
Women's Business Center of Kentucky,"1450 North Broadway, Lexington, Kentucky 40505",502-992-9495,"Business training, workshops, counseling services, networking opportunities, micro and small business loans, business technical assistance, business development planning and marketing strategies for women entrepreneurs",https://www.lisamasiello.com,Women-Owned
khromophilia,,,"Accessories including earrings, necklaces, hair clips, pins, scarves, socks, and home goods including baskets, planters, and stationery",https://www.leoweekly.com,"Women-Owned, Asian-Owned"
