Business Name,Address,Phone,Services / Products,Website,Minority Type,Status,Kentucky Based
"Certified Flux Solutions, LLC","N/A, Morgantown, KY, N/A",270-526-8600,Manufacturer of flux products provided to the secondary aluminum industry,https://www.certifiedflux.com,Women-Owned,Active,Yes
"Champion Business Services, Inc.","2668 Dexter St., Denver, CO, 80207",303-873-9147,Business servicing and consulting. Staffing.,http://www.championbusiness.com,Women-Owned,Active,No
"Charles K Moore Excavating, Paving, and Concrete LLC","4209 Gingerwood Dr, Louisville, KY, 40220",502-356-8872,Concrete flatwork and excavation work.Asphalt paving and asphalt milling work.Transportation of different materials.,http://www.doesnothaveone.com,Minority-Owned (general),Inactive,Yes
Chef Doug’s Gourmet Foods,"N/A, Winchester, KY, N/A",859-585-1464,"Catering, mobile food services, gourmet food manufacturing & food services contractor",https://www.chefdougsgourmetfoods.com,Minority-Owned (general),Active,Yes
"Cherokee Construction & Excavating, LLC","13125 Middletown Industrial Blvd., Louisville, KY, 40223",502-589-9737,"Water, sewer, utilities, concrete work, drainage work, seed & straw, erosion control, fencing, construction",http://www.cherokeellc.net,Native American-Owned,Active,Yes
"Childress & Associates, LLC","N/A, Lexington, KY, N/A",859-338-3771,Environmental consulting services including Phase I environmental site assessments & environmental screenings,https://www.childressassociates.biz,Women-Owned,Active,Yes
"Chloeta Fire, LLC","N/A, Jay, OK, N/A",877-245-6382,"Natural resources & emergency management operations, planning & consulting wildland firefighting & related products & services",https://www.chloeta.com,Minority-Owned (general),Active,No
"Christon Enterprises, Inc. dba Isom IGA","N/A, Isom, KY, N/A",606-633-9820,"Retail grocery with full service produce, dairy, frozen foods, meat, bakery, deli, dry grocery",,"Minority-Owned (general), Women-Owned",No Website,Yes
"Civil Design, Inc.","5220 Oakland Avenue, St. Louis, MO, 63110",314-863-5570,"Civil Engineering, Land Surveying, Structural and GIS Services",http://www.civildesigninc.com,Women-Owned,Active,No
"Clinical Solutions, LLC","N/A, Franklin, TN, N/A",615-403-4422,Pharmacy services to correctional facilities,http://www.clinicalsolutionspharmacy.com/,Women-Owned,Active,No
"Cohen's Investigations, LLC","N/A, Lexington, KY, N/A",859-382-9801,"Criminal & civil defense investigations, process service, background checks, notary Services, interviewing",,"Minority-Owned (general), Women-Owned",No Website,Yes
"Cole Construction Services, LLC","7519 Nachand Lane, Louisville, KY, 40218",502-930-2813,"Services includes but not limited to Commercial Construction Supplier, Concrete Paving",http://www.colembe.com,Minority-Owned (general),Inactive,Yes
Columbus Masonry Products,"16191 E Lake Shore Dr N, Hope, IN, 47246",812-344-7790,Supplier of masonry construction products,http://www.columbusmasonryproducts.com,Women-Owned,Active,No
"Commonwealth Cleaning, LLC","N/A, Lexington, KY, N/A",859-268-4330,"Carpet & window cleaning, floor care, duct cleaning, building services, maid service, contracts for general cleaning",https://www.commonwealthcleaning.com,Women-Owned,Active,Yes
Comtech Global Inc.,"1103 Schrock Rd, Suite 102, Columbus, OH, 43229",614-796-1148,"At Comtech Global , we staff each project with a combination of business and technical knowledge, energy, chemistry, and commitment needed to make a project succeed.We organize and manage this complex collection of IT Professionals into an effective and efficient development team and, once an engage",http://www.comtechglobal.com,Minority-Owned (general),Active,No
"Comtech Global, Inc.","N/A, Columbus, OH, N/A",614-245-5680,"Develop software, hardware & software engineering, computer programming, software maintenance and support",https://www.comtechglobal.com,Minority-Owned (general),Active,No
Concepts 21 PLLC,"1119 Rostrevor Cir, Louisville, KY, 40205",502-292-7708,"Architecture, Planning, Engineering;",,Minority-Owned (general),No Website,Yes
Conflict Circunvention LLC,"3445 Lincoln Rd, Indianapolis, IN, 46222",317-985-2434,"Conflict Circumvention (CC) teaches conflict management for every walk of our society. CC incorporates a number of life skills such as conflict management, cultural competence, emotional awareness, and critical thinking.",https://www.conflictcircumvention.com/,Minority-Owned (general),Active,No
Construction MR LLC,"3228 Rosewedge Way, Louisville, KY, 40216",502-821-5301,Framing/Roofing Services for residential and commercial new constructions.,http://mrconstructionservices.com,Minority-Owned (general),Active,Yes
"Core Controls, LLC","N/A, Lexington, KY, N/A",859-225-0560 x 104,Building automation controls,https://www.corecontrols.net,Women-Owned,Active,Yes
Corn Island Archaeology LLC,"10320 Watterson Trail, Suite C, Louisville, KY, 40269",502-890-6795,"Archaeological, Cultural Historic, Historic Preservation;",http://www.ciarchaeology.com,Women-Owned,Active,Yes
"Cornerstone Engineering, Inc.","2302 Hurstbourne Village Drive, Suite 1000, Louisville, KY, 40299",502-493-2717,"Engineering - Structural Engineering Design, Structural Strengthening, Repair, Restoration;",http://www.cei-engineering.com,Native American-Owned,Active,Yes
"Cosmos Technologies, Inc.","2718 River Green Circle, Louisville, KY, 40206",502-515-3367,"Water and Sewer Line and Related Structures Construction ; Engineering services; Drafting Services; Environmental Consulting Services; Research and Development in the Physical, Engineering, and Life Sciences",http://www.cosmostechnologiesinc.com,Minority-Owned (general),Active,Yes
"Cost/Copy Consultants, Inc.","N/A, Mundelein, IL, N/A",847-949-5678,Sales and service of office equipment and IT services,http://www.cost-copy.com/,Women-Owned,Active,No
"Costing Services Group, Inc.","N/A, Atlanta, GA, N/A",404-815-9555,"Construction cost consulting, scheduling, value engineering, Lifecycle costing & cost management",https://www.costingservicesgroup.com,Women-Owned,Active,No
"Costing Services Group, Inc.","1270 W. Peachtree St., NW, Ste. 3, Atlanta, GA, 30309",404-815-9555,Construction Cost Estimation Services,http://www.costingservicesgroup.com,Women-Owned,Active,No
"Countrywood Home Builders, Inc.","N/A, Owensboro, KY, N/A",270-314-3968,Clean & repair foreclosed homes,,Women-Owned,No Website,Yes
"Creative Solutions Consulting, Inc.","5719 Lawton Loop East DR STE 112, Suite 112, Indianapolis, IN, 46216",317-757-8764,"Management Consulting, Acquisition and Program Management, Change Management, Enterprise Integration, Predictive Intelligence, Mission Analytics, Earned Value Management (EVM), Risk Management, Business Process Re-Engineering (BPR), Enterprise Information Technology, IT Program / Project / Portfolio",http://www.csciconsulting.com,Women-Owned,Active,No
CreativelyIn-ventedLLC,"827 south 40th street, Kentucky, KY, 40211",502-548-3494,"Problem; - parents feel overwhelmed, tired and stressed that cause them to not be able to engage their children in a productive and fun way; - kids are not engaged in their learning which causes them to fall behind in their academics; - parents don't have the tools, resources to be creative and don'",http://creativelyinvented.com,Minority-Owned (general),Active,Yes
"Creekmore Marketing, LLC","N/A, Lexington, KY, N/A",859-401-2549,"Online marketing and advertising services, consulting and website design",https://www.creekmoremarketing.com,Women-Owned,Active,Yes
"Critical Skills, Inc. dba CSpring","N/A, Fishers, IN, N/A",317-513-7773,"Management Advisory Services, Information Technology Consultation Services, Project Management, Temporary Personnel Services, Computer Services, Software or Hardware Engineering, Management Information Systems, Data Services, Software Maintenance and Support, Information Technology Service, Software",https://www.cspring.com,Women-Owned,Active,No
"Crown Services, Inc. dba Crown Staffing","707 park meadow rd, ste 120, westerville, OH, 43081",502-682-6160,"Staffing company, temproary workers, employee search firm, direct hire, contract workers",http://www.crownstaffing.com,Women-Owned,Active,No
"Crystal Steel Fabricators, Inc.","N/A, Delmar, DE, N/A",703-868-6853,"Structural steel fabrication, miscellaneous metals fabrication & erector, ornamental metals fabrication & erector",https://www.Crystalsteel.com,Minority-Owned (general),Active,No
"Crystal Steel Fabricators, Inc.","9317 OLD RACETRACK ROAD, DELMAR, DE, 19940",302-846-0613,STRUCTURAL STEEL AND MISCELLANEOUS METAL FABRICATORS,http://www.crystalsteel.com,Minority-Owned (general),Active,No
"Cui Liu Designs, LLC","N/A, Murray, KY, N/A",270-238-1886,Imports high quality specialty home furnishing products for the mass market. Specifically items designed for the mass discount retailers & merchants,https://www.cuiliudesigns.com,"Minority-Owned (general), Women-Owned",Active,Yes
Culy Contracting LLC,"5 INDUSTRIAL PARK DR, WINCHESTER, IN, 47394",765-584-8509,"Culy Contracting focuses on new installation, repairs, and rehabilitation in the water & sewer industry and total site preparation for municipalities, commercial, and industrial customers.; Culy performs large diameter pressure taps, line stops, bypass piping, and insertion valves. All of these can ",http://www.culycontracting.com,Women-Owned,Active,No
"Culy Contracting, LLC","N/A, Winchester, IN, N/A",765-584-8509,"New installations, rehabilitation and repairs in the water and sewer industry, sewer cleaning and CCTV",https://www.culycontracting.com/,Women-Owned,Active,No
"D & S SURVEYING, LLC","71 Owes Lane, London, KY, 40744",(606) 231-0703 or (606) 878-0498,Related Services: 561730 – Specializing in Erosion control – seed blankets/silt fence and drainage pipe laying,https://N/A,Women-Owned,Inactive,Yes
"D-Arc Construction Logistics, LLC","N/A, Ashland, KY, N/A",606-420-4110,Construction and residential home remodeling,https://darc-construction-logistics-llc.business.site/,"Minority-Owned (general), Women-Owned",Inactive,Yes
"D. Daniels Agency, Inc.","N/A, Lexington, KY, N/A",859-983-9529,Logistics consultation and independent sales representative for Landstar Carrier Group and single source logistics solutions provider,https://www.ddanielsagency.com,Women-Owned,Active,Yes
"D.A.D.S. BOBCAT SERVICE, LLC","PO Box 117, California, KY, 41007",(859) 743-0631,"Related Services: 237310 - Specializing in concrete paving, curb and gutter, and sidewalks; and 238990 - Specializing in brick paving installation, concrete patio construction, residential and commercial paving, concrete culverts and sidewalk construction

Prequalified: curb and gutter, sidewalk, an",https://N/A,Women-Owned,Inactive,Yes
"D.A.D.S. Bobcat Service, LLC","N/A, Butler, KY, N/A",859-749-0631,Concrete restoration for gas companies and some municipality work,,Women-Owned,No Website,Yes
"D.A.G. CONSTRUCTION COMPANY, INC.","4924 Winton Road, Cincinnati, OH, 45232",(513) 542-8597 Fax: (513) 542-9286,"Related Services/Concessionaire: 236220 - Specializing in the addition, alteration and renovation, commercial and institutional building; addition, alteration and renovation, commercial warehouse; addition, alteration and renovation, for-sale builders, hotel and motel; addition, alteration and renov",https://www.dag-cons.com,Asian-Owned,Inactive,No
"DALLAS DEAN, INC.","PO Box 296, Harrodsburg, KY, 40330",(859) 734-7071 Fax: (859) 734-7072,"Related Services: 237120 - Specializing in compressor, metering and pumping station, gas and oil pipeline, construction, construction management - oil and gas pipeline, corrosion protection - underground pipeline and oil storage tank, distribution line, gas and oil, construction, gas main constructi",https://N/A,Women-Owned,Inactive,Yes
"DAR Construction, LLC","N/A, Buckner, KY, N/A",502-693-5225,General contracting services,https://www.darconstructionllc.com,Minority-Owned (general),Inactive,Yes
"DAVIS FREIGHT MANAGEMENT, INC.","13238 Broadway, Alden, NY, 14004",(716) 902-4244 Fax: (716) 902-4243,"Related Services: 484121 - Specializing in General freight trucking, long-distance; Trucking, general freight, long-distance, truckload; 484220 - Specializing in Flatbed trucking, local; Trucking, specialized freight (except used goods), local; 488510 - Specializing in Agents, shipping; Freight forw",https://N/A,Women-Owned,Inactive,No
"DAW CLEANING SERVICE, LLC","928 Lima Court, Lexington, KY, 40511",(859) 621-2661 Fax: (859) 523-6386,"Related Services: 238990 - Specializing in brick driveway contractors (pressure washing); brick paver contractors (e.g. driveways, patios, sidewalks installation (pressure washing); cleaning building interiors during and immediately after construction; and concrete patio construction (pressure washi",https://www.dawcleaningservicellc.com,Black-Owned,Inactive,Yes
"DAW Cleaning Service, LLC","N/A, Lexington, KY, N/A",859-309-1513,"Brick washing, pressure washing, stucco, water seals, vinyl washing",,Black-Owned,No Website,Yes
"DAYLIGHT CAPITAL ADVISORS, LLC","328 W. Park Street, Canton, MS, 39046",(769) 666-4543,Related Services: 523940 - Portfolio Management and Investment Advice,https://N/A,Black-Owned,Inactive,No
"DBE CONSULTING, LLC","325 Centennial Olympic Park Drive, Suite 1322, Atlanta, GA, 30313",(404) 966-3573,Related Services/Concessionaire: 541611 – Administrative Management and General Management Consulting Services; 812112 – Beauty Salons; 812113 – Nail Salons; and 812199 – Other Personal Care Services,https://N/A,"Black-Owned, Women-Owned",Inactive,No
"DBISP, LLC","N/A, Cincinnati, OH, N/A",317-222-1671,"Provides office, medical, industrial, IT products & technology solutions to federal/city/state government agencies, K-12/university education markets & commercial businesses",https://www.dbispllc.com,Minority-Owned (general),Active,No
"DBISP, LLC","8857 Commerce Park Place, Suite D, Indianapolis, IN, 46268",317-222-1671,Supply resale,http://www.dbispllc.com,Minority-Owned (general),Active,No
DC2 Entertains LLC,"3107 Albans Place, Louisville, KY, 40241",502-644-3705,Photo Entertainment System that is the premier open-air photo booth that makes events special,http://www.tapsnap1136.com,Minority-Owned (general),Active,Yes
"DC2 Entertains, LLC dba TapSnap 1136","N/A, Louisville, KY, N/A",502-644-3075,"Photos, social media, data collection, branding/marketing, and event management",https://www.tapsnap1136.net,"Minority-Owned (general), Women-Owned",Inactive,Yes
"DDW of Louisville, LLC","N/A, Louisville, KY, N/A",502-896-3394,"Pre-employment drug testing, alcohol testing (post accident), onsite random drug testing, DNA testing (paternity)",,Women-Owned,No Website,Yes
"DDX Transport, LLC","N/A, Walton, KY, N/A",859-356-3278,"Transportation, logistics, and warehousing",http://www.ddxtransport.com/,Minority-Owned (general),Active,Yes
"DEANTO CORPORATION, LLC","36201 Henderson Mill Road, Apt. #12 D, Atlanta, GA, 30341",(470) 756-9569,"Related Services: 236210 - Specializing in Construction management for industrial buildings; 237310 - Specializing in Curbing, safety barrier, airport runway seal coating, airport runway striping, sidewalk, and construction management; and 238990 - Specializing in fencing installation",https://N/A,Black-Owned,Inactive,No
"DEPARTURE MEDIA, INC.","180 Meeting Street, Suite 350, Charleston, SC, 29401",(843) 571-2299 Fax: (843) 571-2294,"Concessionaire: 541810 - Specializing in Advertising Agencies and advertising agency consulting services; 541840 - Specializing in Advertising media representatives (i.e., independent of media owners), Magazine advertising representatives (i.e., independent of media owners), Media advertising repres",https://www.departure-media.com,Women-Owned,Active,No
"DHDC ENGINEERING CONSULTING SERVICES, INC.","2390 Advanced Business Center Drive, Columbus, OH, 43228",(614) 527-7656 or (937) 301-2595 Fax: (614) 527-7489,"Related Services: 541330 - Specializing in civil engineering services, construction engineering services and engineering consulting services; and 541380 - Specializing in geotechnical testing laboratories or services, laboratory testing (except medical, veterinary), and soil testing laboratories or ",https://www.dhdcinc.com,Asian-Owned,Active,No
"DIBIASE MATERIAL SOLUTIONS, INC.","4265 Inverrary Drive, Liverpool, NY, 13090",(315) 727-3043,"Related Services: BROKER: 425120 – Agents and brokers, durable goods, wholesale trade",https://N/A,Women-Owned,Inactive,No
"DIGITAL BUILDING SERVICES, LLC","11290 SW 30th Street, Miami, FL, 33165",(305) 202-1208,Related Services: 541340 - Specializing in computer-aided design drafting (CADD) services and drafting services,https://N/A,Latino-Owned,Inactive,No
"DIVERSE INDUSTRIAL SOLUTIONS, LLC","23 Johnson Lane, Clarksburg,, PA, 15725",(724) 388-0154,Related Services: 238290 – Other Building Equipment Contractors,https://N/A,"Black-Owned, Women-Owned",Inactive,No
"DK Bast Foundation Services, LLC","N/A, Leitchfield, KY, N/A",615-355-4773,Foundation Repairs,,Women-Owned,No Website,Yes
DLZ Corporation,"6121 Huntley Road, Columbus, OH, 43229",614-888-0040,"Engineering-Full service Multidisciplinary-Architectural, Environmental Professional Consulting;",http://dlz.com,Minority-Owned (general),Active,No
"DLZ Kentucky, Inc.","N/A, Lexington, KY, N/A",859-299-5226,"Consulting architects and engineers for civil, mechanical, electrical, and industrial engineering, environmental testing, asbestos removal, survey, hydraulics, dams, sewers, airports, bridges, hydrology drilling and testing, subdivision management, construction supervision, telephone and gas lines",http://www.dlz.com/,Minority-Owned (general),Active,Yes
"DMB Contracting, LLC","N/A, Lancaster, KY, N/A",859-339-9000,"Drywall, acoustic ceiling, and environmental permitting",,Women-Owned,No Website,Yes
"DORSEY ARCHITECTS AND ASSOCIATES, INC.","2301 1st Avenue North, Suite 101, Birmingham, AL, 35203",(205) 601-6576,Related Services: 541310 - Architectural Services,https://www.dorseyarchitects.com,Black-Owned,Active,No
DRIVE ENGINEERING CORP.,"595 Skippack Pike, Suite 400, Blue Bell, PA, 19422",(215) 367-5535 Fax: (888) 544-0270,"Related Services: 541330 – Engineering Services; 541340 – Drafting Services; 541512 – Computer Systems Design Services; 
541715 – Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology); and 541990 – All Other Professional, Scientific, and T",https://www.driveengineering.com,Latino-Owned,Active,No
"DUNN ELECTRIC, LLC","4304 Meadowbend Way, Louisville, KY, 40218",(502) 494-6640 Fax: (502) 709-5750,"Related Services: 221121 - Specializing in electric bulk power transmission and control - performing preventative maintenance; 221122 - Specializing in electric power distribution - performing installation services; 237130 - Specializing in performing cable installation, antenna construction, power ",https://www.dunnelectric.net,Black-Owned,Active,Yes
"DYNOTEC, INC.","2931 E. Dublin-Granville Road, Suite 200, Columbus, OH, 43231",(614) 880-7320 Fax: (614) 880-7324,"Related Services: 541330 - Specializing in civil engineering services, construction engineering services, consulting engineers' offices, engineering consulting services, engineering design services, engineering services, and traffic engineering consulting services

Prequalified Consultant: surveying",https://www.dynotecinc.com,Asian-Owned,Active,No
Daleos Construction LLC,"5508 GARROW AVE, FAIRDALE, KY, 40219",502-468-8821,"framing of new houses, additions,decks,remodelings, structure repairs,roofing;",http://daleosconstructionllc.com/,Minority-Owned (general),Inactive,Yes
"Darsh Consultancy Services, LLC","N/A, Prospect, KY, N/A",502-291-6693,"IT consulting services, custom programming & software development",https://www.DarshConsultancy.com,"Minority-Owned (general), Women-Owned",Inactive,Yes
"Data Systems Integration Group, Inc.","N/A, Dublin, OH, N/A",614-327-7348,"IT consulting, software, and services",http://www.dsiginc.com/,Minority-Owned (general),Active,No
Debbie Sutherland Excavating,"585 Browningtown Rd, Shepherdsville, KY, 40165",502-955-7161,Excavation;,,Women-Owned,No Website,Yes
Destiny Communications LLC,"6503 Seaton Lane, Louisville, KY, 40291",502-424-3484,"Security Systems, Network Cabling, Wifi. AV installations",http://destinycommunications.org,Minority-Owned (general),Inactive,Yes
"Destiny Communications, LLC","N/A, Louisville, KY, N/A",502-424-3484,"Network cabling, IT, security systems, Audio/Visual and low voltage interpreter close circuit television",http://www.destinycommunications.org/,Minority-Owned (general),Inactive,Yes
"Discount Cell, Inc.","N/A, Provo, UT, N/A",801-235-9809,"Government contract sales of cell phone and tablet accessories and equipment including cases, chargers, batteries, cellular data routers, antennas, signal boosters, Bluetooth, headsets and much more",https://www.discountcell.com,Women-Owned,Active,No
"Diverse Staffing Services, Inc.","7135 Waldemar Dr, Indianapolis, IN, 46268",317-813-8000,"Diverse Staffing provides temporary, temp-to-hire and direct hire workforce solutions. Our hybrid recruiting processes target, engage, and qualify top talent to fill any position, on demand and on budget. This unique model integrates online, mobile, social media, call center, and community-centric e",http://www.diversegov.com,Minority-Owned (general),Active,No
"Donna Lawrence Productions, Inc.","N/A, Louisville, KY, N/A",502-589-9617,Film & video production including special format immersive installations,https://www.dlproductions.com,Women-Owned,Active,Yes
"Doss & Horky, Inc.","N/A, Danville, KY, N/A",859-236-2690,"Construction (commercial); excavation, concrete, general contractor",https://www.dosshorky.com,Women-Owned,Active,Yes
"Dove Building Services, Inc.","N/A, Columbus, OH, N/A",614-299-4700,"Janitorial services, window cleaning and cleaning supplies. Carpet Cleaning & water treatment and supplies",https://www.dovebuildingservices.com,Minority-Owned (general),Active,No
"Down Ta Earth, Inc.","N/A, Science Hill, KY, N/A",606-423-2120,"Horizontal road bores for sewer, storm sewer & water",,Women-Owned,No Website,Yes
"Dr. James-Etta Consulting Group, LLC","N/A, Shelbyville, KY, N/A",502-966-7901,"Professional development services with the aim to advance social change and equity through workshops, training, and consulting",https://drjamesetta.com,"Minority-Owned (general), Women-Owned",Inactive,Yes
"DuMore Delivery Services, LLC","N/A, Louisville, KY, N/A",502-210-6997,Pickup and deliver general freight across the United States,,"Minority-Owned (general), Women-Owned",No Website,Yes
"Dunrobin Associates, LLC","N/A, Cold Spring, KY, N/A",859-781-9776,Management & technical consulting to public entities involving infrastructure or development,https://www.dunrobin.org,Women-Owned,Active,Yes
E-SQUARED CONSULTING CORPORATION,"43969 Tavern Drive, Suite 200, Ashburn, VA, 20147",(703) 858-5588 Fax: (703) 724-0983,"Consultant: 541611 – Specializing in Administrative management consulting services, Business management consulting services, General management consulting services, and Strategic planning consulting services; 541614 – Specializing in Transportation management consulting services; 541618 – Specializi",https://www.e-squared.org,Black-Owned,Active,No
"E. LEE TRUCKING, INC.","5949 River Road, Cincinnati, OH, 45233",(513) 315-3132 or (513) 290-5560 Fax: (812) 637-0224,"Related Services: BROKER: 425120 - Excluding petroleum and petroleum products agents and brokers; 484220 - Specifically dump trucking (e.g., gravel, sand, top-soil) gravel hauling, local; sand hauling, local; top-soil hauling, local",https://N/A,Black-Owned,Inactive,No
"E. TABB DESIGN CONSTRUCTION & DEVELOPMENT, LLC","1330 W. Breckenridge Street, Suite A, Louisville, KY, 40210",(502) 749-2004 or (502) 232-0655,"Related Services: 236220 – Specializing in the addition, alteration and renovation of Commercial and institutional building; Commercial warehouse; For-sale builders, commercial warehouse; For-sale builders, hotel and motel; For-sale builders, industrial warehouse; General contractors, commercial war",https://www.etabbllc.com,Women-Owned,Active,Yes
"E11even Keez Media, LLC + Creative","N/A, Lexington, KY, N/A",859-559-8975,"Wideography, photography, graphic design, writing, branding strategy, marketing strategy, on-camera talent services, and voiceovers",http://www.e11evenkeezmedia.com/,"Minority-Owned (general), Women-Owned",Inactive,Yes
"EARTH IMAGES, INC.","5868 Stiller Road, Floyds Knobs, IN, 47119",(800) 325-2543 Fax: (812) 923-7505,"Related Services: 237310 – Specializing in Bridge approach construction, Bridge construction, Grading highway, Road, Street and Airport runway, Highway Construction, Parkway Construction, Road Construction, Sidewalk public construction, Street Construction; 237990 – Specializing in Anchored earth re",https://www.earthimagesinc.com,Women-Owned,Active,No
"EATON CONSTRUCTION CO., INC.","PO Box 684, Circleville, OH, 43113",(740) 474-3414  or (740) 701-7070 Fax:  (740) 474-9616,"Related Services: 237310 - Specializing in highway construction, pavement, highway, road, street, bridge or airport runway construction, and highway, road, street, bridge or airport runway repair

Prequalified: waterproofing and sawing and sealing of cracks and joints",https://N/A,Women-Owned,Inactive,No
"EDUCATORS 4 EDUCATION, LLC","527 Primos Avenue, Folcroft, PA, 19032",(215) 792-3171,"Related Services: 611710 - Specializing in Career and vocational counseling services (except rehabilitative), College selection services, Educational consultants, Educational curriculum development services, Educational guidance counseling services, Educational support services, Educational testing ",https://www.educators4education.org,Black-Owned,Active,No
EHI CONSULTANTS,"333 W. Vine Street, Suite 300, Lexington, KY, 40507-1626",(859) 425-4881 or (502) 992-3194 Fax: (859) 254-8639,"Consultant: 541330 - Specializing in Civil engineering services, Construction engineering services, Consulting engineers' offices, Consulting engineers' private practices, Engineering consulting services, Engineering design services, Engineering services, Engineers' offices, Engineers' private pract",https://www.ehiconsultants.com,Black-Owned,Active,Yes
"ELAINE ALLEN, LLC","1200 North Limestone, Lexington, KY, 40505",(859) 368-7790,"Related Services: 236210 - Specializing in Addition, alteration and renovation - For-Sale builders, Industrial building (except warehouses) construction; general contractors, Industrial building (except warehouses) construction; Assembly plant construction; construction management, industrial buildi",https://www.elaineallenllc.com,Black-Owned,Active,Yes
"ELEMENT DESIGN, PLLC","366 S. Broadway, Lexington, KY, 40508",(502) 489-4221 or (859) 389-6533 Fax: (859) 389-6534,"Related Services: 541320 – Specializing in Architects’ offices, landscape; Architects’ private practices, landscape; Architectural services, landscape; City planning services; Garden planning services; Golf course design services; Industrial land use planning services; Land use design services; Land",https://www.element-site.com,Women-Owned,Active,Yes
"ELITE INDUSTRIAL PAINTING, INC.","1505 Savannah Avenue, Tarpon Springs, FL, 34689",(727) 641-4472 or (727) 940-6001 Fax: (727) 279-2827,"Related Services: 238320 – Painting and Wall Covering Contractors

Prequalified: bridge painting - Level B",https://N/A,Women-Owned,Inactive,No
"ELITE PROFESSIONALS, LLC","5174 S. University Drive, Davie, FL, 33328",(954) 680-6416 or (832) 266-9768 Fax: (954) 434-0929,Related Services: 561320 - Specializing in Temporary help services,https://www.eliteprofessionalsllc.com,Women-Owned,Active,No
EMCA Cleaning Services,"4033 Woodruff Ave, Louisville, KY, 40215",502-609-3604,Janitorial and cleaning services for commercial and medical spaces.,,Minority-Owned (general),No Website,Yes
EMED MEDICAL COMPANY LLC,"11551 ADIE RD, MARYLAND HEIGHTS, MO, 63043",314-739-6815,"Wholesale pharmaceutical products distributor, pre-packaged prescriptions, vaccines and injectable, specialty medical products, surgical supplies and diagnostics.",http://www.emedmedical.com,Minority-Owned (general),Active,No
"EMED Medical Company, LLC","N/A, Maryland Heights, MO, N/A",314-739-6815,"Brand and generic pharmaceuticals, medical surgery supplies, disposable medical supplies, pharmacy prescription services, managed care provider, promotional programs, direct distribution",https://www.emedmedical.com,Minority-Owned (general),Active,No
"ENA'S JERKMANIA, LLC d/b/a JUST JERKS","PO Box 15215, Lockland, OH, 45215-9998",(937) 369-9497,Concessionaire/Related Services: 722310 - Food Service Contractors; 722320 - Caterers; 722330 - Mobile Food Restaurants; and 722513 - Limited Service Restaurants,https://www.thatsjerk.com,"Black-Owned, Women-Owned",Active,No
"ENFINITY SUPPLY, LLC","1628 Shelby Oaks Drive, Suite 1, Memphis, TN, 39018",(901) 563-8008 Fax: (901) 422-7212,"Material Supplier: 423320 - Brick, Stone, and Related Construction Material Merchant Wholesalers; 423390 - Other Construction Material Merchant Wholesalers; 423510 - Metal Service Centers and Other Metal Merchant Wholesalers; 423830 - Industrial Machinery and Equipment Merchant Wholesalers; 423840 -",https://www.enfinitysupply.com,"Black-Owned, Women-Owned",Active,No
"ENVIROKINETICS, INC.","5411 Park Drive, Newburgh, IN, 47630",(812) 760-0330 or (812) 858-9043 Fax: (812) 858-9043,"Related Services: 541618 - Specializing in Telecommunications management consulting services and utilities management consulting services; 541620 - Specializing in Ecological restoration consulting, Environmental consulting, Environmental reclamation planning services, Sanitation consulting services",https://www.environmentkinetics.com,Black-Owned,Active,No
"EPR, P.C. d/b/a EPR CORP.","902 E. Jefferson Street, Unit 101, Charlottesville, VA, 22902",(434)202-5082 or (804) 647-7701 Fax: (866) 233-8801,"Related Services: 541330 – Engineering Services

Prequalified Consultant: advanced transportation planning engineering, conceptual transportation planning, pedestrian and bicycle planning and design, and transportation planning engineering",https://www.epr-pc.com,Women-Owned,Active,No
"ESP ENTERPRISES, INC.","13161 Misty Willow Drive, Houston, TX, 77070",(713) 429-5018 or (713) 970-0735 Fax: (888) 686-7694,"Related Services: 517810 - Specializing in On-line access service providers, using client-supplied telecommunications (e.g., dial-up ISPs); and 561320 - Specializing in Contract staffing services; Office help supply services; Temporary employment services; Temporary help services",https://www.espenterprisesinc.com,Latino-Owned,Inactive,No
"ESSAYON PROGRESS MANAGEMENT, LLC","560 Fairground Street, NE, Marietta, GA, 30060",(770) 423-2211 or (478) 972-7612,"Related Services: 236116 - Specializing in Apartment building construction, Condominium, multifamily, construction, Construction management, multifamily building, Cooperative apartment, construction, Duplex (i.e., one unit above the other), construction, Garden apartment construction, High-rise apar",https://www.EssayonPM.com,Black-Owned,Active,No
"ETCH, LTD","2967 Switzer Rd, Suite D, Columbus, OH, 43219",614-507-6533,"With a unique focus on Geographic Information Systems (GIS) technology, Etch provides clients with customized solutions that streamline everyday business and operational workflows. We specialize in organizational development, GIS planning and design, asset management and data conversion and delivery",http://www.etchgis.com,Women-Owned,Active,No
"ETCH, LTD.","2967 Switzer Avenue, Suite D, Columbus, OH, 43219",(614) 507-6533,Related Services: 541360 – Geophysical Surveying and Mapping Services; 541370 – Specializing in Geographic information system (GIS) base mapping services and Geospatial mapping services; 541512 – Specializing in Computer hardware consulting services or consultants; Computer software consulting servi,https://www.etchgis.com,Women-Owned,Active,No
