Commonwealth of Kentucky Minority and Women Business Enterprise Certification Program,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"East 7th Street Gift Shop, Inc.   ",2026-08-30 00:00:00,WBE,Retail,"Brick & mortar apothecary shop specializing in loose teas, herbs, soaps, candles, and essential oils",Carisa Bunten,Campbell,Newport,KY,859-655-9444,https://shop.seventhstreetgifts.com/
EasyGo Waste Management LLC,2028-04-30 00:00:00,WBE,Non-Professional Services,"Portable toilet rentals, hand washing stations, hand sanitizer stations, holding tanks and pumping out lift stations and septic tanks",Crystal Stark,Carroll,Carrollton,KY,502-662-0123,https://www.easygowm.com/
"Eckman/Freeman & Associates, Inc.",2027-07-30 00:00:00,WBE,Professional Services,Medical Case Management Services Vocational Rehabilitation Services Utilization Review Services Kentucky MCO,Carol Freeman,Fayette,Lexington,KY,866-227-5002,https://eckmanfreeman.com/
"Edifici, LLC ",2029-04-30 00:00:00,MBE,Other - Real Estate,Affordable housing real estate development,Gabriel Alexander Fitz,Jefferson,Louisville,KY,502-938-2803,
"Element Design, PLLC",2028-12-30 00:00:00,WBE,Professional Services,"Full site design services include landscape architecture, civil engineering, and site planning. Specialties include Master planning, sit analysis & selection, site design and layout, grading & drainage, landscape design, green infrastructure design & LEED documentation, hydraulic analysis & engineering, sanitary sewer engineering, water line distribution engineering, permitting for sit design and civil engineering scope, land planning & zoning",Ramona Fry,Fayette,Lexington,KY,859-389-6533,https://www.element-site.com/
"Elevar Design Group, Inc. dba SFA Architects, Inc.",2028-01-30 00:00:00,MBE,Professional Services,"Complete architectural, engineering, planning, interior design, and project management services",Emilio Thomas Fernandez,Hamilton,Cincinnati,OH,513-721-0600,https://elevar.com/
Elite Pro Building Services LLC,2028-04-30 00:00:00,MBE,Other ,"Cleaning for commercial properties – warehouses, offices, and retail spaces, and floor cleaning services",Robert Meeks,Boone,Florence,KY,859-414-2440,https://www.goelitepro.biz/
"Elm Street Resources, Inc.",2028-04-30 00:00:00,WBE,Broker,Coal supplier/broker,Kathy Walker,Johnson,Paintsville,KY,606-789-4036,
"EMED Medical Company, LLC ",2026-10-30 00:00:00,MBE,Supplier/Distributor,"Medical, dental, and hospital equipment supplies, pharmaceutical preparation manufacturing, drugs & druggists sundries merchant wholesaler",Eric Bailey,St. Louis,Maryland Heights,MO,314-739-6815,https://www.emedmedical.com/
"EMY Consulting Group, LLC                                                                                                 ",2028-07-30 00:00:00,MWBE,Consultant,"Business Planning & Strategy Business plan development, SWOT analysis (Strengths, Weaknesses, Opportunities, Threats), Market research & competitive analysis, Strategic growth planning, Startup consulting, Operations & Process Improvement Workflow analysis & optimization, Policy and procedure development.",Nasira Mah-Jabeen,Jefferson,Louisville,KY,502-579-0170,
"Engaging Solutions, LLC",2028-03-30 00:00:00,MWBE,Consultant,"Fiscal management & accountability, diversity service, community outreach & fund development",Tammy Butler Robinson,Marion,Indianapolis,IN,317-283-8300,https://engagingsolutions.net/
"Eric Cole Realtor, LLC    ",2026-05-30 00:00:00,MBE,Other ,"Buying, selling, leasing, and managing of residential and commercial real estate, as well as property liquidation for ward of the state dependents",Eric Cole,Fayette,Lexington,KY,859-806-8498,www.ericcoleteam.com
eSense Incorporated,2027-03-30 00:00:00,MBE,Professional Services,"Information technology & management consulting, software, web development, QA, testing, IV & V, staffing",Sanjay N. Vaze,Hamilton,Fishers,IN,317-490-2570,http://esense-inc.com/
"Evelez, LLC",2027-12-30 00:00:00,MWBE ,Consultant,"Office administration, data entry, business consulting & staffing, Truck leasing services, Spanish-English interpretation and translation services",Eugenia Velez,Jefferson,Louisville,KY,502-644-2075,
"Everett Elite Consulting, LLC",2029-04-30 00:00:00,MBE,Professional Services,Strategic consulting and operational execution support,Torriaun Everett,,Indianapolis,IN,317-502-0300,https://everettelite.com/
"Executive Residential Elevator, LLC dba Executive Elevator Co.",2028-03-30 00:00:00,MWBE,Contractor,"Elevator service, repair, installations and modernizations",Teru Irvin,Jefferson,Louisville,KY,502-636-1993,https://exelevator.com/
Exousia Financial Solutions LLC,2028-04-30 00:00:00,MWBE,Professional Services,"Financial coaching, business consulting, and credit coaching",Syvoskie Dale Bray Pope,Jefferson,Louisville,KY,502-416-7389,https://syvoskia.com/
"Expedited Transportation Services, Inc.",2027-08-30 00:00:00,WBE,Other,Third party logistics firm handling all aspects of domestic & international transportation of freight,Winford Charlene Taylor,Gwinnett,Stone Mountain,GA,770-413-1700,www.ets-atlanta.com
"Experts in Growth Leadership Consulting, LLC",2026-12-30 00:00:00,MWBE,Consultant,"Consulting, coaching, training, motivational and keynote speaker",Vivian Hairston Blade,Jefferson,Louisville,KY,502-419-2433,https://vivianblade.com/
"F&M, LLC",2026-02-28 00:00:00,MBE,Contractor,Rehab homes and small apartment units,Frederick Liggin,Jefferson,Louisville,KY,502-639-6166,
"Fabulously Fit Fitness, LLC",2029-01-30 00:00:00,MWBE,Other,"Group fitness instructor, fitness event planner, and some fitness apparel retail",Shuntella Whitfield,Fayette,Lexington,KY,859-705-2917,https://www.fabulouslyfitfitness.com/
"Family Again, LLC  ",2028-04-30 00:00:00,MBE,Professional Services,Employment services and supervision for non- master level Cosmetologists as they work towards completing their necessary supervision hours,Michael Parker,Jefferson,Louisville,KY,502-303-7556,
"Fields Electrical Supply Company, Inc.",2028-01-30 00:00:00,MBE,Supplier/Distributor,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",Victor Fields,St. Louis,St. Louis,MO,816-387-1364,https://fieldssupplycompany.com/
"Fieldtrip, LLC ",2028-09-30 00:00:00,WBE,Professional Services,"Marketing & advertising services including brand development, media buying creative, digital & related services ",Jane Pfeiffer,Jefferson ,Louisville,KY,502-822-9011,https://wearefieldtrip.com/
"Fineline Graphics, Inc. dba Fineline Printing Group",2028-09-30 00:00:00,MBE ,Manufacturer,"Commercial printing, mailing, fulfillment promotional products",Ricardo 'Richard' Miller ,Marion,Indianapolis,IN,317-872-4490,https://finelineprintinggroup.com/
"First Choice Commercial Services, Inc. ",2027-03-30 00:00:00,WBE,Other ,"Commercial cleaning, construction clean-up, and interior demolition",Charlene Ambach,Jefferson,Louisville,KY,502-957-1810,https://firstchoicecleaning.com/
"First Star Safety, LLC",2027-12-30 00:00:00,WBE,Professional Services,"Construction & traffic safety supply, direct sale, rental & distributer:  Traffic control specialist, MOT plans, detours, closures, pavement markings, flagging. Aluminum traffic control signs manufacturing and sales",Kelly M. Hollatz,Hamilton,Cincinnati,OH,513-661-7827,https://www.firststarsafety.com/
"Five Star Cartage, LLC",2026-02-28 00:00:00,MWBE,Trucking,Providing transportation services to our customers safely and efficiently,Brittany Jones,Jefferson,Louisville,KY,502-810-4529,
"Flooring by Design, LLC",2028-07-30 00:00:00,WBE,Retail,"Full-service flooring company offering design, selection and installation services of all flooring types from tile, hardwood, LVT, carpet and vinyl flooring; commercial projects large and small, multi-family properties, residential and custom homes.",Ashley Anderson,Madison,Richmond,KY,859-358-6441,https://www.flooringbydesignky.com/
"Fox Partners, LLC ",2027-03-30 00:00:00,MBE,Professional Services,"Distributed Antenna Systems (DAS), Cell phone signal boosting systems and equipment sales, service, installation, and maintenance",John L. Fox III/ John L. Fox IV,Scott,Sadieville,KY,859-619-2094,
"Foxx Catering, LLC",2027-04-30 00:00:00,MBE,Other ,Food product manufacturing and full service catering,Travis Foxx,Jefferson,Louisville,KY,810-407-0744,https://www.foxxcatering.com/
Freezin with Aubrie LLC,2028-01-30 00:00:00,WBE,Retail,Freeze dried candy and treats,Cristina Sink,Boone,Florence,KY,859-462-8749,www.freezinwithaubrie.com
"Fuzed Solutions, LLC",2029-01-30 00:00:00,WBE,Contractor,Voice and data security systems maintenance and management,Kristin Abney & Tiffany Abney,Fayette,Lexington,KY,859-339-7280 859-270-5518,https://fuzedsolutions.com/
"Garcia Interiors, LLC",2027-11-30 00:00:00,MWBE,Subcontractor,Specialty commercial construction,Mayrya Garcia,Boone,Walton,KY,513-532-5675,
"Gazelle Logistics Group,  LLC dba Gazelle Mechanical",2026-05-30 00:00:00,MBE,Supplier/Distributor,"HVAC equipment, storage, and delivery","Andrew J. Ellington, III",Hamilton,Cincinnati,OH,888-991-7447,https://www.shipgazelle.com/
"Geisler Domigan Engineers, PLLC",2026-08-30 00:00:00,WBE,Professional Services,"Civil site development, stormwater design, geotechnical engineering, and environmental engineering services",Mary Geisler,Bourbon,Paris,KY,859-494-4540,https://geislerdomiganeng.com/
Giacin Media House LLC,2028-01-30 00:00:00,WBE,Professional Services,"Food and product photography, motion picture, styling and editing services, portrait photography",Sarah Giacin,Kenton,Taylor Mill,KY,513-607-1451,https://www.giacinmediahouse.com/
"Gilbert Oil Co., LLC ",2026-08-30 00:00:00,WBE,Supplier/Distributor,Wholesale fuel products,Amy Gilbert Kennedy,Lewis,Vanceburg,KY,606-202-1074,
"GJC Consultants, LLC",2026-12-30 00:00:00,WBE,Consultant,"Branding, marketing, and storytelling",Henrietta Pepper,Jefferson,Louisville,KY,502-693-1396,https://henriettapepper.com/
"Glenn Lundy, LLC ",2026-10-30 00:00:00,MBE,Consultant,"Bringing (automotive_ dealers together to inspire and grow their businesses using a combination of on-demand training, live weekly training, in-person retreats, helping build a collaborative community and offering one-on-one coaching",Glenn Lundy,Fayette,Lexington,KY,859-567-0333,https://www.glennlundy.com/
"Global Diagnostic Services, Inc.",2026-10-30 00:00:00,MBE,Other,Medical staffing and mobile diagnostic testing,Marc C. Upshaw,Rockdale,Conyers,GA,770-602-0502,https://www.globaldiagnostic.net/
"Global Lofts, LLC",2029-02-28 00:00:00,MWBE,Other ,Lodging accommodations and curated experiences/events within the community,Latasha Ann Brown,Jefferson,Louisville,KY,931-278-3128,https://www.global-lofts.com/
"GMC Logistics, LLC",2026-08-30 00:00:00,MBE,Trucking,Trucking Services,Christopher M. Hall,Jefferson,Louisville,KY,502-656-1027,
"GMJ, LLC",2028-04-30 00:00:00,MBE,Contractor,"Hydroseeding, landscaping, concrete work, silt fencing, trucking, grading, retaining walls, brick paving, tree planting, and excavation",Gerardo Jaime,Breckenridge,Custer,KY,270-536-3700,
"GNC Consulting, Inc. ",2028-08-30 00:00:00,MBE,Consultant,"Custom computer consulting services, installation, upgrade and maintenance of ERP applications. Niche is PeopleSoft, Hyperion Enterprise and Cloud solutions. Including, but not limited to, human resources, payroll, employee benefits, financial procurement, supply, customer relations and incentive compensation systems. An Oracle PeopleSoft Enterprise Platinum partner and Oracle Hyperion Partner",Garry P. Cooper,Will,Frankfort,IL,815-981-4029,https://gnc-consulting.com/
"Go 2 Girl, LLC",2028-09-30 00:00:00,WBE,Professional Services,"Business development, certification, diversity spend tracing reporting requirements, supplier diversity portal registration, trade shows conference ",Vanessa Pennoyer ,Shelby,Shelbyville,KY ,502-303-6030,https://www.go2girl4results.com/
"God Particle IT Group, LLC",2027-10-30 00:00:00,MBE,Consultant,"IT support and consulting, IT engineering for cyber security, networking engineering, and managed services for support desks",Timothy Pruitt,Jefferson,Louisville,KY,502-716-9908,https://www.godparticleit.com/
"Golden Leaves, LLC",2027-10-30 00:00:00,MWBE,Other ,"Tea Cafe offering over 100 loose leaf teas, serving breakfast, lunch and tea parties. Gift shop offering handmade goat milk soap and soy wax candles",Samantha Moran,Madison,Richmond,KY,859-575-1154,www.goldenleavesky.com
Golden Light Inc.,2028-01-30 00:00:00,MWBE,Subcontractor,Providing student transportation (via rideshare model),Ciara Bowman,Jefferson,Louisville,KY,502-314-4250,https://goldenlightdrive.com/
"Gould Electric, LLC",2028-11-30 00:00:00,MBE,Contractor,Electrical contractor,Christopher A. Gould,Jefferson,Louisville,KY,502-741-3804,http://www.gouldelectric.com/
"Grand Luxury Living, LLC",2028-10-30 00:00:00,MWBE,Other ,"Real Estate Units, Leadership Development, Instructional Design & Training",Antionette Davis,Fayette,Lexington,KY,269-519-4837,https://www.grandluxuryliving.com/
"Grantibly, LLC ",2026-08-30 00:00:00,WBE,Professional Services,Evaluation services to faculty with grant funded work and to nonprofits who need to evaluate programs,Lauren McClain,Warren,Bowling Green,KY,419-595-0402 ,https://www.grantibly.com/
"Grayson, LLC dba ADC Paving",2029-01-30 00:00:00,WBE,Contractor,Asphalt paving and maintenance,Angela Bright,Jefferson,Louisville,KY,502-964-1415,https://www.adcpaving.com/
"Green & Associates Realty, LLC ",2026-08-30 00:00:00,WBE,Other ,"Real estate buyer/seller representation, bank asset disposition, and property management",Julie Ann Green,Jefferson,Louisville,KY,502-931-0121,https://exitrealtygreenteamlouisville.com/
"Griggs Enterprises, Inc. ",2027-06-30 00:00:00,WBE,Contractor,Commercial general contractor ,Janie L. Griggs,Bourbon,Paris,KY,859-987-6744,http://griggsent.com/
Grotech Ltd. Co.,2028-01-30 00:00:00,MWBE,Contractor,"Data analytics, design services, IT support, and medical billing",Ashanti Hall,Fayette,Lexington,KY,859-797-8956,https://grotechltd.com/
Gustavo's Mexican Grill Prospect LLC,2029-04-30 00:00:00,MBE,Other - Restaurant,Food products and alcoholic beverages,Gustavo Reyes Torres,Jefferson,Prospect,KY,502-767-4191,https://gustavosmexgrill.com/
"h3 Technologies, LLC",2026-05-30 00:00:00,MWBE,Professional Services,"IT staffing, software development & consulting firm",Anju Kumari,Boone,Florence,KY,859-282-1400,https://www.h3-technologies.com/
Hades Knight Global Inc.,2027-05-30 00:00:00,MBE,Consultant,"Security consulting, both electronic and physical",Nelson T. Muldrow,Fayette,Lexington,KY,859-298-8526,
"Hamilton Enterprises Logistics Partners, LLC (HELP)",2026-05-30 00:00:00,MBE,Supplier/Distributor,"Source & supply uniforms & equipment for public safety professionals, federal, state & local governments & DOD military forces","Sanford P. Hamilton, Jr.",Fayette,Lexington,KY,859-333-5909,
Hardlines Design Company,2026-08-30 00:00:00,MWBE,Professional Services,"Architecture, historic preservation, and planning",Charissa W. Durst,Franklin,Columbus,OH,614-784-8733,https://www.hardlinesdesign.com/
"Harper Slade, LLC",2026-05-30 00:00:00,MWBE,Consultant,"DEI, Racial Equity Index; Training and workshops: The Garden, Harper Slade enResidence; Simulations:  The Experience Experiment",Nikki Lanier,Jefferson,Louisville,KY,502-265-5119,https://www.harperslade.com/
Haykas Properties LLC dba Just Love Coffee Cafe- Berea,2027-07-30 00:00:00,WBE,Retail,Restaurant and coffee shop,Sandy Adams & Hayley Rogers,Madison,Berea,KY,859-756-3089,https://justlovecoffeecafe.com/ky-berea/
"HB Masonry, LLC ",2028-09-30 00:00:00,WBE ,Subcontractor,"Masonry construction, brick, block & stone walls ",Sherry Alexander ,Madison,Richmond,KY ,859-624-0741,https://www.hbmasonryky.com/
"Health Careers Training Institute, LLC",2026-08-30 00:00:00,MWBE,Other ,Proprietary school that trains individuals in Nurse Aide skills and emergency care skills such as CPR and first aid,Michelle Young,Jefferson,Louisville,KY,502-290-2999 ,https://www.hctiky.com/
"Health, Education and Research Associates, Inc.",2028-09-30 00:00:00,MBE,Professional Services,Lab planning services and lab equipment planning.,Taylor Schuman,St. Louis,St. Louis,MO,314-346-3447,https://herainc.com/
"Hearts Matter, LLC ",2026-12-30 00:00:00,MWBE,Other ,"Health education provider, specializing in high quality CPR & emergency cardiac care instruction; provides American Heart Association certification in CPR, first aid & advanced life support; HeartSmart.com partner in Automatic External Defibrillator (AED) sales",Micean Johnikin,Fayette,Lexington,KY,859-309-2950,https://www.heartsmatterllc.com/
Helping Other People Excel - HOPE,2028-11-30 00:00:00,WBE,Consultant,"Leadership development including training, executive coaching & organizational development consulting",Dr. Hope Zoeller,Jefferson,Louisville,KY,502-724-9041,https://hopeforleaders.com/
"Hicks Enterprises, Inc.",2027-05-30 00:00:00,MBE,Other ,"Construction, multi-affordable housing",Keith Hicks,Jefferson,Louisville,KY,502-644-0116,
"High Performance Products LLC dba HPP Industrial
",2027-04-30 00:00:00,WBE,Supplier/Distributor,"Provider of industrial coatings, linings, and floorings for a variety of industries; coatings for infrastructure, food and beverage, water, wastewater, OEM, petrochemical, power generation, and plant maintenance",Pam Sholtes,Jefferson,Jeffersonville,KY,502-451-2226,http://hppindustrial.com/hpp/
"HireEd Brands, LLC dba The College Visit Journal",2026-05-30 00:00:00,MWBE,Other ,"College readiness author and bookseller to individuals, online retailers and wholesale to businesses",Danielle Marshall,Jefferson,Louisville,KY,832-771-8884,https://www.thecollegevisitjournal.com/ 
"Hirons & Company Communications, Inc.",2028-10-30 00:00:00,WBE,Consultant,"Advertising, public relations, digital and web, creative and brand development, crisis communications, paid media, strategy and research, and video and production",Deana Haworth,,Indianapolis,IN,317-977-2206,https://hirons.com/
"HJ Hauling Services, Inc.",2029-01-30 00:00:00,WBE,Subcontractor,Import and export of materials on job sites,Brooke Nusky,,Cincinnati,OH,513-502-5229,https://hjhauling.com/
"Hoeworx, LLC",2027-06-30 00:00:00,WBE,Subcontractor,Construction,Janine Cunningham,Bullitt,Shepherdsville,KY,502-553-8552,https://www.hoeworx.com/
"Home Away from Home Therapeutic Center, LLC",2027-03-30 00:00:00,MWBE,Other ,"Individual and family therapy services, in-person and group therapy services, as well as community events",Dr. Shaquilla NiCole Cooper,Jefferson,Louisville,KY,502-536-7245,https://shaquilla-cooper.clientsecure.me
"Hometown Pharmacy Specialty Services, PLLC",2028-04-30 00:00:00,WBE,Other ,Closed door pharmacy services,MeLeigha Milby & Nelda Eads,Taylor,Campbellsville,KY,270-937-9008,https://www.staywellathometown.com/
"Houston-Johnson, Inc. dba HJI Supply Chain Solutions",2026-10-30 00:00:00,MWBE,Supplier/Distrubutor,"Materials and inventory management, broadcast/inline vehicle sequencing services, sub-assembly kitting, order fulfilling, contract packaging, container management and managed transportation, contract warehousing, and outsourced manufacturing",C. Lynn Houston-Moore,Jefferson,Louisville,KY,502-638-8000,https://hjisolutions.com/
"HR Know-How, LLC ",2028-10-30 00:00:00,MWBE,Consultant,"Executive Coaching, Team Development Training, and HR expertise",Lisa Marie Johnson,Nelson,Bardstown,KY,502-709-0199,https://www.hrknowhow.org/
"HRUNeed, LLC",2029-04-30 00:00:00,MWBE,Consultant,"Coaching and development; business assessment and strategic planning; HR communication, organizational support, employee support and growth, and career services",Shelly Bell,Nelson,Bardstown,KY,502-507-1768,https://www.hruneed.com/
"I.C.O.E. Bracelet, LLC ",2026-10-30 00:00:00,WBE,Other,Custom engraved wristbands; engrave emergency contact numbers on wristbands & add fun designs or allergy & medical alerts,Michele Redmon,Jefferson,Louisville,KY,630-248-4827,https://www.icoebracelets.com/
"Imperial Pixels, LLC",2026-05-30 00:00:00,MBE,Professional Services,"Real estate photography, portraits, team photos, headshots, and drone photography",Brandon Barnhill,Jefferson,Louisville,KY,502-509-8572,https://www.imperialpixels.com/
"Incipio Workforce Solutions, LLC ",2026-10-30 00:00:00,WBE,Professional Services,Contract recruiting and human resources services and behavioral research and development services,Molley Ricketts,Jefferson,Louisville,KY,502-544-3706,https://incipioworks.com/
"Inclusive Realty, LLC",2027-03-30 00:00:00,MWBE,Professional Services,"Home purchases, home sales, commercial real estate and property management",Antecia Whitehead,Jefferson,Louisville,KY,502-314-5725,https://inclusiverealtygroup.com/
"Inclusive Strategies, LLC",2029-04-30 00:00:00,WBE,Consultant,"Supplier diversity, procurement communications, government and public policy consulting",Lesley Crane,,Indianapolis,IN,317-627-4527,https://www.inclusivestrategies.co/
"Indomitable Cleaning, LLC dba Coverall",2028-07-30 00:00:00,MWBE,Other ,"Cleaning services, carpet cleaning, strip and waxing, and window cleaning",Suzette Ferguson- Ngondy,Fayette,Lexington,KY,859-537-1009,
"Induction Therapies, LLC",2027-04-30 00:00:00,WBE,Other ,"Wholesales of a medical device, skin care and personal care products, and retail sales of skin care and personal care products",Angelia Inscoe,Jefferson,Louisville,KY,877-746-4407,https://www.inductiontherapies.com/
"Infinitice, LLC",2029-05-30 00:00:00,MBE,Professional Services,"IT Consulting services for flexible solutions with mobile, web applications, data analytics and providing IT staffing",Siddharth Patel,Jefferson,Louisville,KY,856-332-5527,https://infinitice.com/
"Inner Plant Systems, Inc.  ",2026-10-30 00:00:00,WBE,Supplier/Distrubutor,"Diesel fuel, off-road, oil and lubes, and equipment for fuel",Tammy Elmore,Jefferson,Louisville,KY,502-931-0300,
"Inside Out Design, LLC dba Inside Out Landscape Design, LLC  ",2027-02-28 00:00:00,WBE,Professional Services,"Landscape & hardscape design & installation & commercial properties, including paver patios & walks, fire pits, drainage solutions, lighting, pergolas, etc.",Andrea Wilson Mueller,Franklin,Frankfort,KY,502-695-7020,https://kentuckylandscapedesign.com/
"Integrated Power and Technology, LLC",2026-08-30 00:00:00,MBE,Contractor,Industrial and commercial electrical contracting,Larry Middleton,Jefferson,Louisville,KY,502-876-1669,https://integratedpt.net/
"Interapt, LLC",2027-04-30 00:00:00,MBE,Professional Services,"Information technology services to companies, including mobile/web app development, IT support services, data science and cloud engineering",Ankur Gopal,Jefferson,Louisville,KY,502-251-1511,https://interapt.com/
"Interpreting Service of the Commonwealth, LLC ",2027-10-30 00:00:00,WBE,Professional Services,American Sign Language - English Interpreting ,Robin Bush,Pulaski,Somerset,KY,606-401-2328,https://www.iscky.net/
"Interspace Limited, LLC",2028-01-30 00:00:00,WBE,Professional Services,Interior Design,Allison Worsham,Fayette,Lexington,KY,859-252-0000,https://www.interspacelimited.com/
"Ironweed Native Plant Nursery, LLC ",2028-09-30 00:00:00,WBE,Retail,Grow and sell native container plants,Alicia Bosela ,Shelby,Waddy,KY,270-350-2837,https://www.ironweednursery.com/
IT Transformers Inc. dba Metamor Systems ,2028-04-30 00:00:00,MBE,Professional Services,IT Staffing and software development,Bala Krishnamurthy,Hamilton,Carmel,IN,317-514-6172,https://www.metamorsys.com/
"J and JB, LLC dba J and JB Construction and Framing",2028-01-30 00:00:00,MBE,Contractor,"Commercial and Institutional Building construction, and the firm’s primary services are demo, rehab, new build, foundation and footers, framing wood and metal, window and door installs, roofing, excavation work, residential homed demo/teardown, concrete work, construction cleanup, flooring, drywall, and debris removal",Joe Madison,Fayette,Lexington,KY,859-494-7254,
"J. Cortez, LLC",2026-08-30 00:00:00,MWBE,Retail,"Retail sales of sea moss gel, drinks, and capsules",Quintina McDowell,Jefferson,Louisville,KY,502-912-3492,https://seamossbyjcortez.com/
"Jacks or Better Express, LLC",2026-12-30 00:00:00,WBE,Trucking,"Local general freight trucking, long distance general freight trucking, local specialized freight trucking, and long distance specialized freight trucking",Shasta McCubbins,Nelson,Bardstown,KY,502-249-0647,
"Jacobi Oil Service, Inc.",2028-01-30 00:00:00,WBE,Supplier/Distributor,"Delivery of petroleum products, gasoline, diesel fuel, heating oil & lubricants",Elaine M. Jacobi,Floyd,Floyds Knobs,IN,812-923-5174,https://jacobioil.com/
JADE Realty Group Limited Liability Company,2028-01-30 00:00:00,MWBE,Broker,Real estate services & notary public,Patricia Ann King,Hardin,Rineyville,KY,270-317-0087,
"James E. Forst & Associates, Inc.",2026-12-30 00:00:00,WBE,Professional Services,"Mechanical, electrical, and plumbing engineering design for buildings",Susan F. Mersch,Jefferson,Louisville,KY, 502-584-4033 ,http://www.forstengineering.com/
Jason E Davis Homes LLC dba J E Davis Construction LLC,2027-10-30 00:00:00,WBE,Contractor,Construction services,Jodi Davis,Bullitt,Shepherdsville,KY,502-931-4609,
Javier Steel Corporation,2027-06-30 00:00:00,MBE,Subcontractor,"Tie & place reinforcing steel, install SIP bridge deck forms, erect precast & structural beams",Nilo A. Javier,Jefferson,Louisville,KY,502-426-2008,
"Jean Henry WBE, LLC dba Lawrence & Associates Concrete Design ",2027-04-30 00:00:00,WBE,Contractor,"Concrete sidewalks, ADA ramps, concrete patios, decorative concrete curbs, driveways, curbs, and drainage improvements, and historic hardscape preservation",Jean Henry,Jefferson,Louisville,KY,502-899-9588,https://www.lawrenceconcrete.com/
"JEC Creative Designs, LLC",2029-05-30 00:00:00,WBE,Retail,"HTF/DTF shirt transfers and products, door signs, and gifts",Julie E. Corbett,Jefferson,Lousiville,KY,502-558-0053,
"Jessica Michele, LLC dba Pretty Is As Pretty Does, dba Gecca Apparel, dba Gecca Digital Designer",2027-03-30 00:00:00,WBE,Other ,"Boutique, digital interior design, and real estate purchaser and development",Jessica Michele Embry,Grayson,Leitchfield,KY,606-922-9931,"Please provide website address, if applicable"
JK Love Limited Liability Company dba Built with Love,2028-01-30 00:00:00,MWBE,Contractor,Commercial painting and house builder,Kisha Johnson,Jefferson,Louisville,KY,502-677-9226,
"Joes Do It All, LLC",2027-10-30 00:00:00,MBE,Contractor,"Commercial and residential construction, demo, rehab, new build, foundation and footers, farming wood and metal, windows and doors, installation, roofing, and excavation work, residential home demo, concrete work, construction clean-up, dumpsters, and flooring",Joe Madison,Fayette,Lexington,KY,859-285-2004,
"Johnson Benefit Consulting, LLC dba JBC Pros",2029-01-30 00:00:00,WBE,Professional Services,"Employee benefit administration and consulting, FSA, HRA, HSA, COBRA, ERISA, and Form 5500s",Lauren Johnson,Fayette,Lexington,KY,859-479-1882,https://jbcpros.com/
"Jostin Construction, Inc.",2026-12-30 00:00:00,MBE,Contractor,"Commercial concrete construction, construction management, and general contracting",Albert Smitherman,Hamilton,Cincinnati,OH,513-559-9390,https://jostinconstruction.com/
"JQOL Global, LLC",2026-08-30 00:00:00,MBE,Professional Services,Civil engineering services,Jarvis Jointer,Marion,Indianapolis,IN,317-661-1964,https://www.jqolusa.com/
"JQOL, Inc.",2028-01-30 00:00:00,MBE,Professional Services,Civil Engineering,Jarvis Jointer,Marion,Indianapolis,IN,317-610-1203,http://www.jqolusa.com/
JR'S Lawn & Landscaping LLC dba Jr's Lawn & Landscaping                       ,2027-03-30 00:00:00,MBE,Subcontractor,Lawn and landscaping installation and maintenance,"Ernest Robertson, Jr.",Oldham,LaGrange,KY,502-356-3816,"Please provide website address, if applicable"
"Julie Collins Consulting Arborist & Tree Health Services, LLC",2027-05-30 00:00:00,WBE,Professional Services,"Aboriculture services, tree health care, consulting, tree protection plans, arborist reports, tree installation, landscape design, and tree risk assessment",Julie Collins,Kenton,Walton,KY,859-393-7393,https://treecarebyjulie.com/
"Junk-Be-Gone, LLC",2027-03-30 00:00:00,MBE,Other ,"Junk removal, dumpster rental, interior and small structure demolition and hauling",Larry Balew,Boone,Union,KY,859-743-0044,https://junkbegone1.com/
Kaptivative HR Solutions LLC,2028-04-30 00:00:00,MBE,Professional Services,"Human resources and talent acquisition consultant, educational consultant, government contractor, and business services",Aaron Carter III,Campbell,Newport,KY,513-999-1038,https://kaptivative.com/
"KECH, Inc.",2028-01-30 00:00:00,WBE,Professional Services,IT Services and contact center services,Christine Carpenter,Whitley,Williamsburg,KY,606-703-0347,https://www.kechco.com/
Kentuckiana Off-duty Police & Surveillance Inc,2026-05-30 00:00:00,MWBE,Other,"Law EnforcementOfficer (LEO) traffic control and security services, utilizing certified police and deputies who meet all KYTC LEO requirements, including the use of agency-issued vehicles in accordance with KRS.",Teresa McDaniel,Nelson,Coxs Creek,KY,877-880-5677,https://www.kopsinc.com/
"Kentuckiana Sheet Metal, Inc. ",2028-05-30 00:00:00,MBE ,Contractor,Fabricate sheet metal duct work and install on job site. Install commercial HVAC equipment ,James E. Marshall Jr. ,Jefferson,Louisville,KY,502-635-7689,https://kysheetmetal.com/
"Kentuckiana Tire Recycling, LLC",2027-04-30 00:00:00,WBE,Other ,"Tire removal services, tire collection, and tire shredding",Patricia Killion,Jefferson,Louisville,KY,502-822-3809,http://kyusedtires.com/
"Kentucky AgriTech, LLC",2027-10-30 00:00:00,WBE,Professional Services,"Software Development, Product Development, AgTech Consulting, Research & Development",Ricky Mason,Jefferson,Louisville,KY,502-821-8960,https://www.kyagritech.com/
